Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2020,3156.00,3172.75,3122.30,3135.60,3144.509132420091324200,7008,1010,22036720.00,1244,17.75,50.45,-20.40
12-February-2020,3154.25,3185.25,3134.25,3142.95,3162.705931791038174016,22607,1923,71499293.00,6318,27.95,51.00,-11.30
11-February-2020,3105.05,3151.50,3101.60,3146.30,3142.376092233009708737,8240,1155,25893179.00,3109,37.73,49.90,41.25
10-February-2020,3140.00,3150.75,3093.95,3104.30,3116.487298303682250724,12085,1076,37662749.00,2794,23.12,56.80,-35.70
7-February-2020,3160.00,3188.95,3106.90,3134.10,3147.948007798830175473,20003,1561,62968404.00,6160,30.80,82.05,-25.90
6-February-2020,3199.95,3209.15,3140.30,3149.05,3173.472435195326761591,10956,1051,34768564.00,1825,16.66,68.85,-50.90
5-February-2020,3170.10,3220.00,3151.00,3160.70,3179.550479214441112483,17007,1596,54074615.00,3885,22.84,69.00,-9.40
4-February-2020,3287.00,3313.00,3153.00,3162.50,3218.539821573398215733,43155,4507,138896086.00,6937,16.07,160.00,-124.50
3-February-2020,3149.20,3315.00,3116.60,3289.50,3245.332575079872204472,39125,5609,126973637.00,15391,39.34,198.40,140.30
1-February-2020,3178.95,3217.00,3125.55,3141.45,3178.345390118339239152,14957,1759,47538512.00,1574,10.52,91.45,-37.50
31-January-2020,3150.00,3239.00,3150.00,3178.95,3205.832971351742682800,29007,3181,92991597.00,4239,14.61,89.00,28.95
30-January-2020,3105.00,3184.00,3043.25,3143.75,3121.039121613290138887,89209,8334,278424779.00,11852,13.29,140.75,38.75
29-January-2020,3068.00,3098.90,3065.25,3091.35,3087.009000382995021064,5222,1399,16120361.00,1752,33.55,33.65,23.35
28-January-2020,3084.10,3108.00,3049.30,3061.35,3073.875000000000000000,3904,1046,12000408.00,1429,36.60,58.70,-22.75
27-January-2020,3079.00,3123.00,3045.80,3081.65,3081.968514666857921537,13943,1506,42971887.00,2898,20.78,77.20,2.65
24-January-2020,3087.00,3092.00,3068.85,3073.55,3078.757621951219512195,2624,673,8078660.00,1027,39.14,23.15,-13.45
23-January-2020,3077.30,3087.10,3052.20,3064.60,3067.935503135264257987,3349,680,10274516.00,1112,33.20,34.90,-12.70
22-January-2020,3102.45,3108.00,3071.05,3077.30,3083.661631419939577039,4965,1187,15310380.00,2140,43.10,36.95,-25.15
21-January-2020,3087.60,3118.20,3087.60,3096.30,3101.217715019255455712,3895,488,12079243.00,1663,42.70,30.60,8.70
20-January-2020,3110.00,3141.15,3085.00,3104.40,3109.190450786876500400,3749,1039,11656355.00,728,19.42,56.15,-5.60
17-January-2020,3106.75,3138.00,3099.00,3116.50,3122.026447876447876447,5180,856,16172097.00,2036,39.30,39.00,9.75
16-January-2020,3125.00,3148.00,3101.25,3115.20,3121.704100710457434874,8023,837,25045432.00,2043,25.46,46.75,-9.80
15-January-2020,3104.30,3137.90,3093.60,3122.15,3121.353146853146853146,16302,1423,50884299.00,9296,57.02,44.30,17.85
14-January-2020,3092.00,3116.90,3076.60,3101.55,3100.952966617110420327,7399,1098,22943951.00,2331,31.50,40.30,9.55
13-January-2020,3112.00,3119.60,3083.00,3091.30,3101.377547307132459970,5496,1447,17045171.00,1638,29.80,36.60,-20.70
10-January-2020,3090.00,3116.80,3088.60,3103.05,3100.905297783933518005,5776,815,17910829.00,1341,23.22,28.20,13.05
9-January-2020,3070.00,3110.25,3070.00,3087.75,3094.182281251179111798,26503,1088,82005113.00,2098,7.92,40.25,17.75
8-January-2020,3030.00,3069.60,3005.00,3060.60,3046.833831341301460823,6024,865,18354127.00,1479,24.55,64.60,30.60
7-January-2020,3052.00,3068.40,3029.70,3037.45,3044.123689278835865610,4673,623,14225190.00,1206,25.81,38.70,-14.55
6-January-2020,3093.00,3093.00,3030.00,3036.85,3039.711456310679611650,7725,1097,23481771.00,3033,39.26,63.00,-56.15
3-January-2020,3120.00,3125.00,3063.05,3070.85,3085.222400616530730203,15571,1730,48039998.00,5763,37.01,61.95,-49.15
2-January-2020,3159.35,3171.35,3112.20,3118.75,3128.850104931794333683,19060,1551,59635883.00,4785,25.10,59.15,-40.60
1-January-2020,3185.00,3191.25,3137.45,3146.95,3164.035533728152535028,13846,1012,43809236.00,3500,25.28,53.80,-38.05
31-December-2019,3253.00,3253.00,3179.65,3185.50,3206.111994806037980847,18483,1338,59258568.00,9644,52.18,73.35,-67.50
30-December-2019,3244.00,3260.00,3229.00,3253.05,3244.540449092586896339,3251,485,10548001.00,892,27.44,31.00,9.05
27-December-2019,3222.00,3255.00,3221.00,3243.30,3235.045446348061316501,5545,648,17938327.00,767,13.83,34.00,21.30
26-December-2019,3227.15,3239.35,3203.40,3230.10,3223.992279020234291799,3756,412,12109315.00,992,26.41,35.95,2.95
24-December-2019,3232.00,3234.00,3214.90,3227.15,3227.648640000000000000,3125,417,10086402.00,827,26.46,19.10,-4.85
23-December-2019,3211.25,3224.00,3186.60,3220.20,3209.543116119549240568,4082,515,13101355.00,1342,32.88,37.40,8.95
20-December-2019,3223.00,3237.55,3197.50,3201.20,3214.023099177289575987,22122,821,71100619.00,1617,7.31,40.05,-21.80
19-December-2019,3213.15,3233.05,3183.25,3219.05,3218.394029329608938547,11456,1001,36869922.00,3698,32.28,49.80,5.90
18-December-2019,3183.30,3232.00,3183.30,3213.15,3203.241934107203823830,23432,623,75058365.00,1508,6.44,48.70,29.85
17-December-2019,3226.50,3226.50,3194.35,3199.55,3208.146959459459459459,5920,657,18992230.00,1391,23.50,32.15,-26.95
16-December-2019,3232.00,3280.65,3214.85,3219.75,3240.038669898068287119,28058,1403,90909005.00,4168,14.85,65.80,-12.25
13-December-2019,3270.00,3270.05,3220.20,3233.05,3239.899710222802203074,52109,1678,168827934.00,26619,51.08,49.85,-36.95
12-December-2019,3280.00,3280.85,3255.70,3261.00,3266.606359819623697714,12862,1070,42015091.00,7217,56.11,25.15,-19.00
11-December-2019,3237.30,3274.00,3221.00,3269.35,3250.155387052965142598,8836,908,28718373.00,3728,42.19,53.00,32.05
10-December-2019,3250.00,3250.00,3213.35,3233.10,3223.746429498831472344,7702,991,24829295.00,3561,46.23,36.65,-16.90
9-December-2019,3212.00,3238.00,3204.60,3225.60,3226.020059892521639250,24377,1037,78640691.00,3644,14.95,33.40,13.60
6-December-2019,3250.00,3256.30,3192.25,3205.85,3223.291146565264115069,12097,1409,38992153.00,5797,47.92,64.05,-44.15
