Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2020,753.45,753.45,742.50,747.65,746.479657537442261932,85732,3140,63997194.00,20695,24.14,10.95,-5.80
12-February-2020,751.00,760.60,751.00,755.15,756.402674220019161078,96028,2210,72635836.00,23807,24.79,9.60,4.15
11-February-2020,744.90,756.90,741.55,749.50,751.024841289865053767,146651,3065,110138544.00,29630,20.20,15.35,4.60
10-February-2020,747.90,747.90,739.00,741.30,742.335102623261272555,74983,1998,55662513.00,17874,23.84,8.90,-6.60
7-February-2020,738.95,749.00,733.65,748.00,744.495687811532902627,357707,3952,266311319.00,70338,19.66,15.35,9.05
6-February-2020,726.00,744.80,722.95,737.00,735.570499934089111521,242752,6469,178561210.00,38090,15.69,21.85,11.00
5-February-2020,720.20,725.75,715.10,724.15,720.377488226059654631,159250,3373,114720115.00,29138,18.30,10.65,3.95
4-February-2020,712.00,720.50,710.30,714.90,715.688997910420641410,220140,5783,157551776.00,71521,32.49,10.20,2.90
3-February-2020,705.00,712.95,695.95,709.10,703.222545779926689324,254806,8259,179185324.00,58829,23.09,17.00,4.10
1-February-2020,732.40,734.25,702.30,705.70,716.053537947803238005,219209,5572,156965380.00,64322,29.34,31.95,-26.70
31-January-2020,739.00,739.00,725.25,729.35,731.609400634365088045,219432,3159,160538514.00,23476,10.70,13.75,-9.65
30-January-2020,739.30,739.30,727.50,731.30,731.595780533836613642,133524,3426,97685595.00,47434,35.52,11.80,-8.00
29-January-2020,740.00,745.50,733.55,735.35,739.210971127858256231,209787,4775,155076852.00,36517,17.41,11.95,-4.65
28-January-2020,740.00,746.45,735.00,737.10,741.569123705104451193,157059,3987,116470105.00,38585,24.57,11.45,-2.90
27-January-2020,733.80,748.25,732.70,740.00,741.359461300173561526,227585,6006,168722293.00,50710,22.28,15.55,6.20
24-January-2020,725.00,741.80,721.00,737.30,733.178017111222949169,347725,6154,254944326.00,45495,13.08,20.80,12.30
23-January-2020,722.00,737.30,719.65,722.80,727.292195989058790199,398859,10505,290087038.00,84854,21.27,17.65,0.80
22-January-2020,719.40,722.60,707.00,712.75,712.357763116479148794,324058,8818,230845232.00,64604,19.94,15.60,-6.65
21-January-2020,725.05,729.50,716.20,717.75,722.003162019318388919,219480,4524,158465254.00,48513,22.10,13.30,-7.30
20-January-2020,742.00,746.05,724.95,726.75,733.443641860205794713,161423,4400,118394673.00,46779,28.98,21.10,-15.25
17-January-2020,736.30,742.00,731.00,739.80,737.823134442240195330,137613,3657,101534055.00,29815,21.67,11.00,3.50
16-January-2020,746.15,750.25,735.40,737.30,740.921342170571516131,166417,4910,123301907.00,40835,24.54,14.85,-8.85
15-January-2020,747.90,749.00,738.15,746.15,742.927024576092349985,175333,4789,130259624.00,65520,37.37,10.85,-1.75
14-January-2020,739.10,751.25,734.45,747.65,743.245036119376363090,123341,3088,91672586.00,22708,18.41,16.80,8.55
13-January-2020,742.80,746.20,735.60,737.45,740.544319674562481461,117995,2470,87380527.00,26401,22.37,10.60,-5.35
10-January-2020,745.20,751.50,735.00,740.00,742.715430908559742915,171150,3773,127115746.00,21909,12.80,16.50,-5.20
9-January-2020,735.60,745.25,730.15,743.25,740.369344608879492600,227040,4901,168093456.00,50485,22.24,15.10,7.65
8-January-2020,717.60,725.60,709.30,724.70,718.808654527464142115,238511,5098,171443771.00,23569,9.88,16.30,7.10
7-January-2020,729.75,737.95,721.40,725.70,728.537787323801222254,207649,6684,151280143.00,38877,18.72,16.55,-4.05
6-January-2020,733.25,739.00,721.25,722.60,730.211560225610261034,326049,8281,238084749.00,179889,55.17,17.75,-10.65
3-January-2020,756.80,756.80,740.75,742.90,746.988731402412184171,170385,4937,127275675.00,51586,30.28,16.05,-13.90
2-January-2020,751.95,759.00,747.90,757.25,753.526132404181184668,109634,2792,82612084.00,14963,13.65,11.10,5.30
1-January-2020,755.00,760.00,747.25,748.90,751.538576652917683810,106917,2963,80352250.00,19520,18.26,12.75,-6.10
31-December-2019,754.10,765.90,751.20,754.00,759.266376897008987770,271480,5938,206125636.00,62342,22.96,14.70,-0.10
30-December-2019,760.00,765.60,751.20,754.20,758.214532825332925974,222572,4620,168757325.00,45387,20.39,14.40,-5.80
27-December-2019,738.15,762.20,736.10,760.70,753.776196384556749328,359458,6812,270950884.00,100021,27.83,26.10,22.55
26-December-2019,739.00,740.45,733.80,736.15,737.179479696940220269,92523,1966,68206057.00,14117,15.26,6.65,-2.85
24-December-2019,743.00,744.55,737.70,740.45,740.607578723011814856,97589,2567,72275153.00,18652,19.11,6.85,-2.55
23-December-2019,740.90,748.25,736.80,743.55,742.914136057459714934,322452,7373,239554149.00,104027,32.26,11.45,2.65
20-December-2019,742.00,747.40,737.40,739.70,741.129200244252749993,232546,3855,172346631.00,109751,47.20,10.00,-2.30
19-December-2019,742.00,749.65,741.15,742.75,744.962999019268489673,277344,3622,206611018.00,105138,37.91,8.50,0.75
18-December-2019,742.80,748.30,737.70,742.00,741.567093383508272461,406046,6792,301110352.00,176640,43.50,10.60,-0.80
17-December-2019,747.10,756.40,741.60,745.55,750.080445375140890808,686702,7669,515081742.00,358747,52.24,14.80,-1.55
16-December-2019,753.70,754.80,746.30,747.10,749.229496217726591725,217594,6484,163027843.00,58940,27.09,8.50,-6.60
13-December-2019,727.10,753.85,725.30,752.00,746.009696103967666937,471839,13510,351996469.00,118328,25.08,28.55,24.90
12-December-2019,717.55,725.35,715.20,721.60,720.821252772539112075,168618,4508,121543438.00,36708,21.77,10.15,4.05
11-December-2019,711.95,722.25,709.30,716.45,715.468261450700527484,167588,3874,119903895.00,27782,16.58,12.95,4.50
10-December-2019,731.50,732.35,714.20,715.35,721.119958250432173260,153295,4795,110544084.00,38297,24.98,18.15,-16.15
9-December-2019,714.90,733.80,710.25,731.95,722.429868514570007107,281400,7257,203291765.00,82478,29.31,23.55,17.05
6-December-2019,734.70,735.25,715.00,717.55,724.235550917146943852,214633,4640,155444849.00,39427,18.37,20.25,-17.15
5-December-2019,745.00,745.00,725.15,729.50,735.142828777772542790,297146,6876,218444751.00,90458,30.44,19.85,-15.50
4-December-2019,730.00,746.75,729.50,739.75,737.946851342433656861,269734,5524,199049356.00,42139,15.62,17.25,9.75
3-December-2019,745.90,745.90,730.95,733.25,735.424271464041468833,137742,2066,101298810.00,37024,26.88,14.95,-12.65
2-December-2019,740.00,745.80,737.55,744.20,741.759125040809663728,153150,2881,113600410.00,33087,21.60,8.25,4.20
29-November-2019,750.55,756.40,737.00,739.50,749.512140485169133787,355340,4232,266331644.00,195083,54.90,19.40,-11.05
28-November-2019,752.50,755.65,745.55,750.55,748.643595776072904100,1397562,8407,1046275841.00,820719,58.72,10.10,-1.95
27-November-2019,753.00,763.95,749.00,752.45,758.864116852362038894,641014,5451,486442523.00,51465,8.03,14.95,-0.55
26-November-2019,758.45,761.85,744.20,752.25,754.175486640515135815,216176,5468,163034640.00,37152,17.19,17.65,-6.20
