Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2020,189.00,191.15,187.80,190.35,189.901657797266805738,587225,2619,111515001.00,420951,71.68,3.35,1.35
12-February-2020,189.50,191.90,188.60,189.35,189.309529763988824660,279902,1453,52988116.00,185649,66.33,3.30,-0.15
11-February-2020,187.30,191.20,187.30,189.50,190.674720760536998401,680151,2586,129687602.00,509493,74.91,3.90,2.20
10-February-2020,190.55,190.95,184.75,186.65,187.956655922770972428,503852,2660,94702337.00,351046,69.67,6.20,-3.90
7-February-2020,192.65,192.65,188.75,190.45,190.372802200919655589,793123,3362,150989048.00,601719,75.87,3.90,-2.20
6-February-2020,190.00,193.60,188.95,193.00,192.730328881199418425,383786,1723,73967202.00,290570,75.71,4.65,3.00
5-February-2020,195.95,195.95,188.05,189.55,192.859027571322118447,259001,2301,49950681.00,138962,53.65,7.90,-6.40
4-February-2020,187.70,195.25,187.70,194.30,191.131949513740080533,169868,2999,32467202.00,52115,30.68,7.55,6.60
3-February-2020,182.00,188.95,177.50,187.70,184.458835901772474541,417439,4890,77000312.00,150160,35.97,11.45,5.70
1-February-2020,186.00,186.25,177.05,182.60,182.890379684138293975,775276,6719,141790522.00,301325,38.87,9.20,-3.40
31-January-2020,196.00,196.00,185.20,186.90,187.469355002504094650,1152113,11868,215985881.00,504824,43.82,10.80,-9.10
30-January-2020,192.25,195.25,192.15,194.40,193.953538743844652977,172208,2024,33400351.00,41294,23.98,3.10,2.15
29-January-2020,190.45,193.60,189.35,192.35,191.837911426401674415,215956,3147,41428548.00,94355,43.69,4.25,1.90
28-January-2020,193.90,193.90,189.15,190.45,190.606399927513798805,132439,2541,25243721.00,30273,22.86,4.75,-3.45
27-January-2020,196.05,196.30,192.30,192.90,194.211144799159780433,100926,2508,19600954.00,36212,35.88,4.00,-3.15
24-January-2020,195.60,198.20,194.35,196.95,196.505121590823712088,279503,4159,54923771.00,71209,25.48,3.85,1.35
23-January-2020,197.30,206.90,194.05,201.25,200.750530316038873076,1153086,9106,231482626.00,217970,18.90,12.85,3.95
22-January-2020,200.50,202.30,193.10,199.55,197.517921699137428999,619891,4879,122439582.00,206871,33.37,9.20,-0.95
21-January-2020,203.00,204.25,198.95,200.50,201.477187110017377917,171482,3768,34549711.00,38208,22.28,5.30,-2.50
20-January-2020,198.15,211.10,198.15,204.80,206.163674703071026356,676256,6961,139419422.00,104221,15.41,12.95,6.65
17-January-2020,197.00,197.80,193.90,197.40,196.599323410013531799,81290,1452,15981559.00,25743,31.67,3.90,0.40
16-January-2020,194.75,197.70,194.75,196.40,196.403213465952563121,580308,2420,113974356.00,479655,82.66,2.95,1.65
15-January-2020,196.50,196.50,193.00,194.50,194.244028506539274806,549067,1823,106652986.00,397855,72.46,3.50,-2.00
14-January-2020,195.40,196.35,194.40,195.35,195.234585713444437901,135848,933,26522228.00,84516,62.21,1.95,-0.05
13-January-2020,192.50,195.00,191.85,194.80,193.737954352134569873,1403702,1790,271950354.00,1241854,88.47,3.15,2.30
10-January-2020,193.35,193.50,191.30,192.35,192.516895531078654956,206090,1384,39675807.00,110015,53.38,2.20,-1.00
9-January-2020,191.55,193.35,191.25,193.05,192.648899831053280354,297727,2498,57356779.00,213298,71.64,2.10,1.50
8-January-2020,190.65,190.80,189.00,190.50,190.231443161741571674,82638,696,15720346.00,22864,27.67,1.80,-0.15
7-January-2020,193.15,194.45,191.15,191.80,193.270532792980368828,1075840,3174,207928170.00,877885,81.60,3.30,-1.35
6-January-2020,192.80,193.70,188.00,193.10,191.411743183783629676,210454,2379,40283367.00,91942,43.69,5.70,0.30
3-January-2020,197.70,197.70,191.45,192.95,192.991636269599303135,440832,2669,85076889.00,276414,62.70,6.25,-4.75
2-January-2020,196.20,196.65,194.40,195.20,195.172300692693319210,166163,1730,32430415.00,49457,29.76,2.25,-1.00
1-January-2020,191.70,195.80,190.50,195.45,192.820906422988493469,748966,2108,144416303.00,585525,78.18,5.30,3.75
31-December-2019,190.50,192.30,189.35,190.20,191.820961363445609796,1215274,2774,233115027.00,845397,69.56,2.95,-0.30
30-December-2019,189.00,191.60,188.45,190.15,190.261236226560989754,124152,1223,23621313.00,60394,48.65,3.15,1.15
27-December-2019,187.00,189.45,185.70,189.10,188.655981355085733311,150175,1917,28331412.00,57532,38.31,3.75,2.10
26-December-2019,188.00,188.00,184.10,184.80,185.822086461782399850,42886,601,7969166.00,11575,26.99,3.90,-3.20
24-December-2019,185.05,187.50,185.05,187.25,186.940233819138942884,107519,597,20099627.00,63564,59.12,2.45,2.20
23-December-2019,185.80,187.50,184.80,185.90,186.040491276469964075,263884,4012,49093109.00,160610,60.86,2.70,0.10
20-December-2019,186.35,187.40,185.20,186.10,186.781166015520209927,205023,1616,38294435.00,43384,21.16,2.20,-0.25
19-December-2019,187.95,187.95,185.00,186.35,186.371711578859503902,71881,990,13396585.00,35252,49.04,2.95,-1.60
18-December-2019,188.35,188.95,186.20,187.30,187.601669868721218329,305533,1289,57318501.00,187848,61.48,2.75,-1.05
17-December-2019,186.95,188.80,185.70,188.20,187.830428396965454666,436441,1520,81976900.00,338354,77.53,3.10,1.25
16-December-2019,186.90,187.85,185.50,187.05,186.006812737695454466,2085652,2170,387945481.00,1870503,89.68,2.35,0.15
13-December-2019,185.95,187.55,185.10,185.90,186.314637789836032663,169363,1014,31554806.00,91445,53.99,2.45,-0.05
12-December-2019,183.10,188.30,181.20,184.40,183.594450933322155596,4413535,2946,810300535.00,4054575,91.87,7.10,1.30
11-December-2019,182.35,182.80,178.45,181.95,181.815545885636653722,1080556,2177,196461879.00,941548,87.14,4.35,-0.40
10-December-2019,187.55,187.55,182.25,182.75,184.245398051190998256,93493,1049,17225655.00,36136,38.65,5.30,-4.80
9-December-2019,188.95,188.95,185.60,187.70,187.334279649774475988,113070,913,21181887.00,64176,56.76,3.35,-1.25
6-December-2019,187.75,188.20,185.80,186.55,187.016123253314224292,2366768,1096,442623776.00,2284265,96.51,2.40,-1.20
5-December-2019,189.20,189.20,186.55,187.15,188.182540031420531281,1478651,1283,278256301.00,1110380,75.09,2.65,-2.05
4-December-2019,189.80,189.80,187.80,188.40,188.173454126431399474,792319,1121,149093403.00,692590,87.41,2.00,-1.40
3-December-2019,191.45,191.90,189.10,189.40,190.363402860254144470,952293,657,181281736.00,893685,93.85,2.80,-2.05
2-December-2019,193.70,194.30,190.55,191.45,191.315635479446096461,942619,2431,180337753.00,841279,89.25,3.75,-2.25
29-November-2019,196.00,196.95,192.35,193.35,195.057384744024290640,2163467,3063,422000215.00,2009774,92.90,4.60,-2.65
28-November-2019,197.95,197.95,194.15,196.00,195.388533236703305552,74511,865,14558595.00,35008,46.98,3.80,-1.95
27-November-2019,194.10,195.95,194.10,195.15,195.309221900165170279,155597,1358,30389529.00,99567,63.99,1.85,1.05
26-November-2019,198.05,199.35,193.90,194.30,195.990542012004715495,111123,898,21779057.00,35061,31.55,5.45,-3.75
25-November-2019,198.35,200.30,197.85,198.80,199.073240092360154269,158943,1416,31641298.00,104911,66.01,2.45,0.45
22-November-2019,196.00,201.15,196.00,198.55,199.215470802739640007,445898,3099,88829780.00,277669,62.27,5.15,2.55
21-November-2019,195.10,196.80,194.00,195.55,195.250486970255330350,94975,851,18543915.00,48268,50.82,2.80,0.45
20-November-2019,196.50,197.10,194.00,196.05,195.976022275537187188,285515,2133,55954094.00,220469,77.22,3.10,-0.45
19-November-2019,190.65,195.90,190.20,195.30,194.076917004575918407,380033,2747,73755633.00,228837,60.22,5.70,4.65
18-November-2019,188.00,191.00,186.70,190.65,188.851978021978021978,118300,1367,22341189.00,46398,39.22,4.30,2.65
15-November-2019,190.00,190.00,186.80,187.30,187.846021970566891784,1798315,1167,337806319.00,1722582,95.79,3.20,-2.70
14-November-2019,190.00,190.00,187.10,188.00,187.652638265837763374,1811872,1151,340002561.00,1701294,93.90,2.90,-2.00
13-November-2019,193.80,194.20,188.30,189.15,193.368711420244921686,1961035,3345,379202811.00,1792366,91.40,5.90,-4.65
11-November-2019,191.50,193.20,190.35,191.70,191.927531018280596138,681050,1813,130712245.00,599918,88.09,2.85,0.20
8-November-2019,195.75,195.80,190.90,191.70,192.378870007262164124,172125,2742,33113213.00,64624,37.54,4.90,-4.05
7-November-2019,196.10,196.90,193.75,194.15,194.642014593734569594,1075393,2647,209316660.00,979101,91.05,3.15,-1.95
6-November-2019,195.45,196.50,194.75,195.10,195.774291633145615446,2486000,912,486694889.00,2459552,98.94,1.75,-0.35
5-November-2019,194.70,196.50,194.00,195.45,195.773903963150378484,1938256,1032,379459944.00,1857814,95.85,2.50,0.75
4-November-2019,197.15,198.65,194.30,194.70,196.300047985052043512,2121494,1385,416449374.00,2045895,96.44,4.35,-2.45
1-November-2019,198.15,198.70,196.90,197.30,197.337692984390016288,934402,1072,184392735.00,832514,89.10,1.80,-0.85
31-October-2019,200.95,200.95,197.90,198.25,199.422575904171088620,896097,1049,178701972.00,839775,93.71,3.05,-2.70
30-October-2019,203.15,203.30,199.50,199.90,200.295653272453279672,110819,892,22196564.00,45733,41.27,3.80,-3.25
29-October-2019,202.45,202.65,199.65,201.15,201.130327879925966955,74021,779,14887868.00,21794,29.44,3.00,-1.30
27-October-2019,203.15,204.50,201.85,202.45,202.790129489372098705,8186,182,1660040.00,3649,44.58,2.65,-0.70
25-October-2019,204.35,204.65,201.50,203.05,202.757015818053041630,63535,469,12882167.00,24741,38.94,3.15,-1.30
24-October-2019,206.80,207.05,203.55,204.05,204.590707032150837766,125751,618,25727486.00,28736,22.85,3.50,-2.75
23-October-2019,204.15,206.95,202.50,206.25,204.812592216528374926,126062,736,25819085.00,39598,31.41,4.45,2.10
22-October-2019,202.00,207.35,201.60,204.95,204.738243812139850117,133972,1263,27429192.00,48689,36.34,5.75,2.95
18-October-2019,197.00,203.00,197.00,202.55,201.080486387850123151,122207,866,24573443.00,40384,33.05,6.00,5.55
17-October-2019,199.90,199.90,196.55,197.70,197.618798000731439717,41015,412,8105335.00,12068,29.42,3.35,-2.20
16-October-2019,199.50,200.70,196.55,198.70,199.874915854596743172,499136,1286,99764766.00,420188,84.18,4.15,-0.80
15-October-2019,198.80,201.95,198.45,201.35,200.728655196855467491,93114,1277,18690648.00,44433,47.72,3.50,2.55
14-October-2019,201.00,202.40,197.85,198.45,199.653966978899201009,69713,575,13918477.00,22817,32.73,4.55,-2.55
11-October-2019,199.90,204.15,199.00,201.00,201.890120498543329483,174027,1501,35134332.00,49663,28.54,5.15,1.10
10-October-2019,197.50,199.60,196.55,199.15,198.009279592779035327,88797,637,17582630.00,25793,29.05,3.05,1.65
9-October-2019,197.85,198.90,195.50,197.45,197.120525071980681313,96901,623,19101176.00,14490,14.95,3.40,-0.40
7-October-2019,195.30,197.35,194.55,196.40,196.101940819350829389,83676,701,16409026.00,21920,26.20,2.80,1.10
