Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2020,16350.00,16455.00,16290.00,16417.80,16406.153125562961628535,5551,1892,91070556.00,2797,50.39,165.00,67.80
12-February-2020,16097.00,16472.15,15975.00,16289.75,16306.481096681096681096,3465,1403,56501957.00,855,24.68,497.15,192.75
11-February-2020,16298.00,16318.45,15960.00,15995.00,16066.807606263982102908,1341,689,21545589.00,597,44.52,358.45,-303.00
10-February-2020,16309.00,16342.95,16119.30,16168.20,16217.138105567606652205,1383,722,22428302.00,656,47.43,223.65,-140.80
7-February-2020,16288.00,16382.60,16201.90,16305.95,16329.485304143625482917,132010,1307,2155655355.00,1677,1.27,180.70,17.95
6-February-2020,16385.10,16547.60,16166.00,16285.50,16384.963906581740976645,2355,907,38586590.00,524,22.25,381.60,-99.60
5-February-2020,16499.00,16499.00,16257.20,16373.95,16336.408239700374531835,2937,1129,47980031.00,1268,43.17,241.80,-125.05
4-February-2020,16370.00,16500.00,16136.25,16453.00,16382.253026161655603279,2561,1131,41954950.00,629,24.56,363.75,83.00
3-February-2020,15452.00,16502.15,15452.00,16301.65,16370.550400818693501620,17589,2803,287941611.00,13436,76.39,1050.15,849.65
1-February-2020,15355.00,15635.80,15180.00,15425.80,15401.197062423500611995,1634,691,25165556.00,319,19.52,455.80,70.80
31-January-2020,15598.90,15599.75,15315.00,15360.85,15445.561264822134387351,1518,693,23446362.00,513,33.79,284.75,-238.05
30-January-2020,15869.95,15869.95,15483.00,15502.50,15660.909526662672258837,1669,889,26138058.00,694,41.58,386.95,-367.45
29-January-2020,15547.00,15900.00,15444.00,15869.80,15717.522544780728844966,1619,852,25446669.00,635,39.22,456.00,322.80
28-January-2020,15683.85,15695.80,15380.80,15413.55,15472.320459290187891440,1916,861,29644966.00,786,41.02,315.00,-270.30
27-January-2020,15717.45,15854.90,15569.30,15670.80,15762.457614942528735632,1392,743,21941341.00,642,46.12,285.60,-46.65
24-January-2020,15533.00,15855.00,15519.00,15750.40,15726.254982817869415807,1455,792,22881701.00,673,46.25,336.00,217.40
23-January-2020,15477.00,15620.55,15465.00,15554.65,15567.901403508771929824,5700,1837,88737038.00,4764,83.58,155.55,77.65
22-January-2020,15354.00,15585.05,15315.00,15544.40,15474.161963190184049079,1630,762,25222884.00,607,37.24,270.05,190.40
21-January-2020,15420.00,15500.10,15253.05,15280.20,15315.426493108728943338,1306,584,20001947.00,518,39.66,247.05,-139.80
20-January-2020,15436.00,15474.70,15311.00,15419.80,15407.227146814404432132,1805,847,27810045.00,739,40.94,163.70,-16.20
17-January-2020,15399.00,15599.00,15365.00,15441.35,15464.358872743284896521,2271,860,35119559.00,937,41.26,234.00,42.35
16-January-2020,14869.00,15399.00,14860.00,15347.25,15224.345688073394495412,5450,1888,82972684.00,2318,42.53,539.00,478.25
15-January-2020,14868.00,14950.00,14738.40,14867.60,14844.022883295194508009,874,486,12973676.00,275,31.46,211.60,-0.40
14-January-2020,14662.00,14900.00,14615.00,14869.05,14802.709654178674351585,1388,491,20546161.00,522,37.61,285.00,207.05
13-January-2020,14728.30,14735.45,14604.30,14661.90,14673.302543507362784471,747,288,10960957.00,298,39.89,131.15,-66.40
10-January-2020,14690.00,14713.30,14588.00,14685.20,14641.262037037037037037,1080,532,15812563.00,411,38.06,125.30,-4.80
9-January-2020,14536.00,14680.00,14456.80,14644.70,14589.514453477868112014,2214,738,32301185.00,1084,48.96,223.20,108.70
8-January-2020,14249.95,14415.95,14120.20,14388.25,14282.158912386706948640,1655,683,23636973.00,894,54.02,295.75,138.30
7-January-2020,14497.00,14527.60,14255.00,14289.80,14357.409240924092409240,1818,825,26101770.00,1116,61.39,272.60,-207.20
6-January-2020,14575.00,14575.00,14274.85,14409.45,14378.401167883211678832,3425,1330,49246024.00,2164,63.18,300.15,-165.55
3-January-2020,14756.00,14756.00,14526.05,14596.95,14590.690205604233538648,23054,510,336373772.00,22220,96.38,229.95,-159.05
2-January-2020,14869.25,14869.25,14700.00,14724.75,14742.547533952823445318,1399,662,20624824.00,654,46.75,169.25,-144.50
1-January-2020,14819.95,14838.00,14720.00,14777.90,14778.287925696594427244,646,343,9546774.00,220,34.06,118.00,-42.05
31-December-2019,14890.00,14917.00,14701.10,14789.95,14788.123031496062992125,1016,513,15024733.00,316,31.10,215.90,-100.05
30-December-2019,14652.20,14902.50,14620.00,14867.20,14794.856159669649002064,1453,624,21496926.00,822,56.57,282.50,215.00
27-December-2019,14599.45,14680.00,14583.40,14651.75,14644.714018691588785046,535,308,7834922.00,279,52.15,96.60,52.30
26-December-2019,14582.00,14700.00,14550.00,14599.45,14623.874614594039054470,973,442,14229030.00,336,34.53,150.00,17.45
24-December-2019,14550.00,14609.65,14490.00,14586.90,14566.687779910428662827,1563,621,22767733.00,526,33.65,119.65,36.90
23-December-2019,14899.00,14994.00,14490.15,14527.10,14687.641542816702052370,2826,1004,41507275.00,960,33.97,503.85,-371.90
20-December-2019,14244.00,14979.85,14244.00,14833.20,14696.734499809813617344,5258,1792,77275430.00,1632,31.04,735.85,589.20
19-December-2019,14214.00,14299.85,14100.00,14281.40,14182.949064449064449064,962,383,13643997.00,348,36.17,199.85,67.40
18-December-2019,14159.30,14279.00,14054.35,14215.90,14144.444650587507730364,1617,627,22871567.00,550,34.01,224.65,56.60
17-December-2019,14150.60,14232.60,14088.00,14144.50,14165.006750241080038572,1037,349,14689112.00,320,30.86,144.60,-6.10
16-December-2019,14305.00,14422.00,14133.60,14153.10,14224.185787671232876712,1168,443,16613849.00,414,35.45,288.40,-151.90
13-December-2019,14244.00,14372.85,14015.00,14313.80,14214.631141868512110726,1445,530,20540142.00,586,40.55,357.85,69.80
12-December-2019,14114.10,14220.05,14081.95,14169.60,14154.278017241379310344,928,374,13135170.00,257,27.69,138.10,55.50
11-December-2019,14103.05,14155.00,14020.00,14068.15,14028.193397111236165822,10662,201,149568598.00,183,1.72,135.00,-34.90
10-December-2019,14211.00,14240.70,14040.00,14096.30,14083.872557172557172557,4810,401,67743427.00,387,8.05,200.70,-114.70
9-December-2019,14159.50,14267.15,14008.05,14237.35,14120.223004694835680751,852,429,12030430.00,381,44.72,259.10,77.85
6-December-2019,14295.95,14307.20,14150.00,14159.50,14224.320284697508896797,562,253,7994068.00,234,41.64,157.20,-136.45
5-December-2019,14400.75,14410.95,14229.50,14282.35,14276.372163388804841149,661,349,9436682.00,253,38.28,181.45,-118.40
4-December-2019,14324.80,14361.90,14201.25,14300.20,14297.447334200260078023,769,336,10994737.00,172,22.37,160.65,-24.60
