Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2020,532.00,537.75,528.55,533.25,533.457819323144104803,73280,1570,39091789.00,11324,15.45,9.20,1.25
12-February-2020,526.00,534.00,524.20,530.95,529.297576417054110198,101090,2558,53506692.00,23284,23.03,9.80,4.95
11-February-2020,536.00,537.20,522.85,524.40,528.805602654303949347,177523,3737,93875157.00,51289,28.89,14.35,-11.60
10-February-2020,567.70,567.70,526.00,528.05,538.819436943540049685,259228,6998,139677085.00,97617,37.66,41.70,-39.65
7-February-2020,580.10,581.25,561.55,568.80,569.572493882372795544,94808,1641,54000029.00,20808,21.95,19.70,-11.30
6-February-2020,589.50,589.50,576.35,580.10,581.632956360199458983,61366,1649,35692488.00,11225,18.29,13.15,-9.40
5-February-2020,582.00,589.70,577.25,584.40,584.968768687449931737,88629,2370,51845197.00,20876,23.55,12.45,2.40
4-February-2020,562.20,578.70,558.80,576.60,571.342107601403882891,90036,2420,51441358.00,31270,34.73,19.90,14.40
3-February-2020,547.45,565.80,535.20,558.95,552.785802344195631773,108694,2775,60084500.00,15573,14.33,30.60,11.50
1-February-2020,570.00,581.15,536.90,547.50,566.914282343997798078,152594,3496,86507718.00,18207,11.93,44.25,-22.50
31-January-2020,570.05,576.90,565.40,567.35,570.438487463250233047,41837,1350,23865435.00,13116,31.35,11.50,-2.70
30-January-2020,579.25,587.00,564.50,566.80,573.672581061640045741,81327,2389,46655070.00,16705,20.54,22.50,-12.45
29-January-2020,575.40,580.75,572.15,577.45,576.473105911553712504,66074,2373,38089884.00,13047,19.75,8.60,2.05
28-January-2020,579.50,589.85,568.70,572.65,580.695419938613624586,125435,3138,72839530.00,39224,31.27,21.15,-6.85
27-January-2020,560.05,582.50,560.05,578.30,578.075113299678941228,96867,2658,55996402.00,24054,24.83,22.45,18.25
24-January-2020,565.35,572.00,564.75,567.80,569.501666335057699960,80416,1841,45797046.00,22011,27.37,7.25,2.45
23-January-2020,551.15,567.40,549.80,566.55,562.916916573844000799,105039,1977,59128230.00,18957,18.05,17.60,15.40
22-January-2020,553.55,556.45,549.30,554.00,553.374595469255663430,54384,1550,30094724.00,18747,34.47,7.15,0.45
21-January-2020,566.00,566.00,550.50,553.35,555.007432225184625911,84766,1947,47045760.00,25872,30.52,15.50,-12.65
20-January-2020,570.25,574.00,564.80,567.10,568.457622042527702905,116865,2563,66432800.00,28918,24.74,9.20,-3.15
17-January-2020,567.40,574.05,565.45,569.00,570.081646794760746269,132767,2342,75688030.00,31648,23.84,8.60,1.60
16-January-2020,570.00,570.00,564.50,567.40,567.609474064019518564,58201,1567,33035439.00,11419,19.62,5.50,-2.60
15-January-2020,563.00,570.90,556.70,569.65,565.283239786856127886,70375,1761,39781808.00,15554,22.10,14.20,6.65
14-January-2020,555.50,563.25,554.95,562.50,560.107371249101297915,52854,2223,29603915.00,16283,30.81,8.30,7.00
13-January-2020,549.80,557.10,546.65,555.00,552.843481923481923481,71225,2242,39376277.00,27070,38.01,10.45,5.20
10-January-2020,544.00,547.40,539.25,546.45,544.333446573356887258,88308,2618,48068998.00,27162,30.76,8.15,2.45
9-January-2020,530.00,542.30,528.05,541.05,537.049227469903007262,102585,2478,55093195.00,30931,30.15,14.25,11.05
8-January-2020,523.60,526.20,519.10,524.60,522.395426034931969506,103630,3270,54135838.00,45349,43.76,7.10,1.00
7-January-2020,529.00,532.00,523.35,526.65,527.344939591998415527,100980,3526,53251292.00,34749,34.41,8.65,-2.35
6-January-2020,533.00,533.00,520.80,524.20,523.217728462978935017,128697,2111,67336552.00,57198,44.44,12.20,-8.80
3-January-2020,540.65,540.65,530.50,532.65,533.623575480696822129,79676,2820,42516992.00,23137,29.04,10.15,-8.00
2-January-2020,537.00,540.95,533.45,539.90,539.104323528951364212,127766,3501,68879203.00,43322,33.91,7.50,2.90
1-January-2020,534.40,537.75,529.60,536.60,534.272432814866403564,90459,1683,48329750.00,17291,19.11,8.15,2.20
31-December-2019,538.80,538.80,530.40,531.45,533.706467661691542288,65928,2177,35186200.00,15431,23.41,8.40,-7.35
30-December-2019,532.90,538.80,531.65,536.50,535.196522740917425238,123258,2647,65967253.00,37635,30.53,7.15,3.60
27-December-2019,532.00,532.20,525.20,530.05,528.815597340162645459,89028,2022,47079395.00,19508,21.91,7.00,-1.95
26-December-2019,531.00,536.25,527.25,528.45,532.344265268576660303,115777,2362,61633222.00,28470,24.59,9.00,-2.55
24-December-2019,527.55,532.50,526.20,527.35,529.189006576201594982,88653,1730,46914193.00,26708,30.13,6.30,-0.20
23-December-2019,530.90,535.90,524.60,525.90,530.177448667101762136,99595,1764,52803023.00,24412,24.51,11.30,-5.00
20-December-2019,534.00,539.30,528.35,530.80,533.782545372222012602,132515,2896,70734194.00,24865,18.76,10.95,-3.20
19-December-2019,523.00,538.30,523.00,535.05,534.114055935308703745,271814,4672,145179678.00,37255,13.71,15.30,12.05
18-December-2019,507.90,524.75,506.60,522.90,518.487156434171636904,282515,4482,146480399.00,48441,17.15,18.15,15.00
17-December-2019,513.00,513.00,505.00,505.85,508.344532872957000977,105421,2437,53590189.00,46495,44.10,8.00,-7.15
16-December-2019,517.90,519.70,507.90,509.05,513.260116375727348295,90225,2138,46308894.00,28800,31.92,11.80,-8.85
13-December-2019,513.70,522.85,513.70,516.00,517.843413731699036189,144323,3178,74736715.00,41931,29.05,9.15,2.30
12-December-2019,514.40,514.40,508.30,511.75,511.833805070145212896,81260,1635,41591615.00,19844,24.42,6.10,-2.65
11-December-2019,510.00,511.20,502.70,507.65,507.175506013900642315,72083,1888,36558732.00,18101,25.11,8.50,-2.35
10-December-2019,515.00,515.40,504.50,505.80,508.578670036735174733,93371,2410,47486499.00,27932,29.92,10.90,-9.20
9-December-2019,512.20,518.90,510.75,513.65,514.751619626484871507,97399,3119,50136293.00,21278,21.85,8.15,1.45
6-December-2019,530.00,530.00,508.85,510.30,514.885725349905032362,108458,3190,55843476.00,36220,33.40,21.15,-19.70
5-December-2019,528.00,531.00,522.20,524.60,525.339889683998888903,75601,2343,39716221.00,19375,25.63,8.80,-3.40
4-December-2019,524.90,529.00,519.45,525.80,524.527890174921321999,95643,2115,50167421.00,22418,23.44,9.55,0.90
3-December-2019,537.00,537.00,522.05,522.85,529.115563235770601576,92590,2402,48990810.00,30739,33.20,14.95,-14.15
