Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2020,4451.00,4471.95,4416.70,4452.85,4443.678944974988631195,4398,789,19543300.00,914,20.78,55.25,1.85
12-February-2020,4469.00,4495.55,4439.55,4450.95,4464.333292186149858042,16202,1358,72331128.00,9610,59.31,56.00,-18.05
11-February-2020,4440.00,4519.00,4434.50,4469.45,4482.361139222206158739,13834,1499,62008984.00,4028,29.12,84.50,29.45
10-February-2020,4472.30,4474.25,4394.00,4410.85,4425.498048189527527258,7429,1437,32877025.00,2379,32.02,80.25,-61.45
7-February-2020,4475.00,4546.35,4453.35,4473.20,4505.491085134018183965,25407,1785,114471012.00,2117,8.33,93.00,-1.80
6-February-2020,4476.15,4518.30,4446.80,4467.20,4469.432137192110855056,33413,3125,149337136.00,15529,46.48,71.50,-8.95
5-February-2020,4475.00,4528.00,4397.60,4470.60,4469.321709433844032960,31917,3017,142647341.00,16892,52.92,130.40,-4.40
4-February-2020,4400.00,4495.00,4389.00,4475.70,4467.588841882601797990,11346,2276,50689263.00,2482,21.88,106.00,75.70
3-February-2020,4263.00,4383.90,4239.65,4370.95,4322.420191301748617545,13382,2847,57842627.00,2703,20.20,144.25,107.95
1-February-2020,4450.00,4538.70,4193.70,4274.00,4408.070048840586087033,22727,3056,100182208.00,5298,23.31,345.00,-176.00
31-January-2020,4500.05,4502.40,4405.05,4418.00,4449.689339965049065734,7439,1615,33101239.00,3636,48.88,97.35,-82.05
30-January-2020,4568.00,4577.75,4466.00,4480.95,4512.464157984761312393,6431,1741,29019657.00,2587,40.23,111.75,-87.05
29-January-2020,4628.00,4648.85,4558.60,4568.10,4598.262508413731209333,8914,1579,40988912.00,2454,27.53,90.25,-59.90
28-January-2020,4690.00,4694.90,4585.50,4608.65,4643.737031125299281723,15036,2208,69823230.00,3365,22.38,109.40,-81.35
