Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2020,107.00,108.30,104.30,105.35,105.996751110217945535,507558,3941,53799499.00,187814,37.00,4.00,-1.65
12-February-2020,107.00,107.80,106.50,106.75,107.010987518592769837,309260,2290,33094218.00,101029,32.67,1.30,-0.25
11-February-2020,107.45,107.55,106.30,106.65,107.014819088436495508,424655,4169,45444378.00,128130,30.17,1.25,-0.80
10-February-2020,109.00,109.50,105.90,106.20,107.013246194737015881,484592,6105,51857763.00,234503,48.39,3.60,-2.80
7-February-2020,108.00,109.75,106.60,109.30,108.087403793280032653,529199,3822,57199746.00,174419,32.96,3.15,1.30
6-February-2020,107.00,107.80,106.35,107.25,107.133147914949130738,331143,2655,35476392.00,106826,32.26,1.45,0.25
5-February-2020,106.70,107.40,105.25,106.70,106.337089683440861931,501107,5442,53286260.00,121475,24.24,2.15,0.00
4-February-2020,104.30,106.90,103.50,106.05,105.423819026134759620,537713,4120,56687758.00,132043,24.56,3.40,1.75
3-February-2020,105.00,105.00,101.50,103.40,103.586896410209314772,696893,5982,72188983.00,198834,28.53,3.50,-1.60
1-February-2020,110.70,110.70,102.60,104.35,106.894870092940308236,1346886,12587,143975204.00,442352,32.84,8.10,-6.35
31-January-2020,116.00,116.05,106.80,108.90,110.191220781118990927,2025146,21126,223153310.00,732509,36.17,9.25,-7.10
30-January-2020,117.90,117.90,115.05,115.60,116.317172088701325099,413252,3566,48068304.00,128682,31.14,2.85,-2.30
29-January-2020,117.20,118.15,116.50,117.60,117.468441086428025135,453707,3364,53296254.00,82653,18.22,1.65,0.40
28-January-2020,117.85,117.85,115.65,116.70,116.754335245697181341,400900,3329,46806813.00,109110,27.22,2.20,-1.15
27-January-2020,118.75,118.75,116.85,117.20,117.720962057486681835,368294,3377,43355924.00,131814,35.79,1.90,-1.55
24-January-2020,118.95,119.80,117.35,118.35,118.699288138727102235,378585,6007,44937770.00,112249,29.65,2.45,-0.60
23-January-2020,117.00,118.90,116.50,117.75,117.796763669380280389,779772,8198,91854618.00,255328,32.74,2.40,0.75
22-January-2020,123.00,123.00,116.00,116.45,117.988753548696542694,1234256,10349,145628327.00,634303,51.39,7.00,-6.55
21-January-2020,123.00,124.45,122.40,122.75,123.298320226913735414,294385,2607,36297176.00,88666,30.12,2.05,-0.25
20-January-2020,126.00,126.70,120.05,122.35,124.430309878055341922,631926,5443,78630748.00,231950,36.71,6.65,-3.65
17-January-2020,125.00,125.55,124.00,125.35,124.798526950117174422,179220,1487,22366392.00,61783,34.47,1.55,0.35
16-January-2020,125.15,125.15,124.05,124.50,124.499853909417198181,1204732,2051,149988958.00,1073372,89.10,1.10,-0.65
15-January-2020,125.35,125.45,124.30,124.75,124.753400311026634741,162044,1563,20215540.00,61039,37.67,1.15,-0.60
14-January-2020,125.85,125.85,123.85,125.10,124.652769025713881982,261843,3083,32639455.00,92971,35.51,2.00,-0.75
13-January-2020,124.65,125.65,124.30,125.45,125.123866561536142482,172484,1906,21581865.00,56526,32.77,1.35,0.80
10-January-2020,124.80,125.20,123.70,124.10,124.490373107447043376,172122,2301,21427532.00,54500,31.66,1.50,-0.70
9-January-2020,125.30,125.30,122.80,123.65,123.797234842883391889,588321,16279,72832513.00,255730,43.47,2.50,-1.65
8-January-2020,125.00,125.40,123.15,123.50,124.193240763733686504,289944,2395,36009085.00,102507,35.35,2.25,-1.50
