Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2020,213.80,213.80,211.35,211.95,212.150275140814514134,246601,4569,52316470.00,133784,54.25,2.45,-1.85
12-February-2020,213.65,214.80,211.85,213.00,213.436798736753144216,359708,3630,76774924.00,192029,53.38,2.95,-0.65
11-February-2020,217.00,217.00,211.85,212.70,213.703083828417702752,833023,12253,178019584.00,451575,54.21,5.15,-4.30
10-February-2020,213.55,214.20,210.20,210.70,211.525404392450818193,510148,5635,107909262.00,271203,53.16,4.00,-2.85
7-February-2020,214.70,215.55,212.80,213.50,214.453427898543851138,368987,5317,79130527.00,173614,47.05,2.75,-1.20
6-February-2020,217.05,219.80,211.85,213.50,215.451297909032561019,975338,11332,210137838.00,550162,56.41,7.95,-3.55
5-February-2020,216.50,217.50,211.50,216.55,214.902400702182677532,781563,11569,167959765.00,305337,39.07,6.00,0.05
4-February-2020,211.45,217.60,209.25,215.70,213.518382249470397401,1314665,13123,280705144.00,470824,35.81,8.35,4.25
3-February-2020,215.70,215.95,205.00,207.70,209.705187487663175657,2806638,30705,588566548.00,1040985,37.09,10.95,-8.00
1-February-2020,238.15,239.25,215.70,218.85,227.396185667791617105,1746151,26436,397068077.00,632660,36.23,23.55,-19.30
31-January-2020,236.15,238.35,234.10,235.25,236.298566595335158463,418235,6460,98828331.00,107154,25.62,4.25,-0.90
30-January-2020,238.40,238.40,233.00,233.85,234.927360446235125105,213699,4294,50203742.00,101603,47.54,5.40,-4.55
29-January-2020,231.20,237.60,231.20,236.85,236.000599650416565661,548653,8114,129482437.00,194039,35.37,6.40,5.65
28-January-2020,234.65,235.85,230.50,230.75,232.266953913414069652,490403,16957,113904411.00,282967,57.70,5.35,-3.90
27-January-2020,237.65,237.65,234.20,234.65,235.739481575683356098,318465,5078,75074774.00,179082,56.23,3.45,-3.00
24-January-2020,237.90,239.10,237.05,238.10,238.179596758136001946,271202,6334,64594783.00,92754,34.20,2.05,0.20
23-January-2020,238.00,238.80,237.00,237.90,237.710908197423630857,238087,5042,56595877.00,112646,47.31,1.80,-0.10
22-January-2020,239.95,239.95,237.05,237.95,238.153219786052412412,231739,2965,55189389.00,111463,48.10,2.90,-2.00
21-January-2020,241.90,241.90,237.95,238.30,238.433473858355522913,927237,6354,221084339.00,739608,79.76,3.95,-3.60
20-January-2020,241.00,243.25,240.25,241.90,242.013209753879883997,272753,4587,66009829.00,135711,49.76,3.00,0.90
17-January-2020,241.50,242.10,239.40,239.85,240.636150292426401926,244164,3758,58754685.00,141823,58.09,2.70,-1.65
16-January-2020,243.30,243.80,240.40,240.75,242.142371157797626535,190776,4099,46194953.00,96268,50.46,3.40,-2.55
15-January-2020,243.50,243.50,241.10,242.40,242.192515808259637479,175383,2371,42476450.00,79988,45.61,2.40,-1.10
14-January-2020,240.00,243.70,238.35,243.30,241.102984230869990853,870308,4932,209833856.00,633501,72.79,5.35,3.30
13-January-2020,238.95,240.50,238.25,239.15,239.533013297342065305,260804,3201,62471168.00,99401,38.11,2.25,0.20
10-January-2020,237.00,238.80,236.90,238.00,237.887261001722058919,259573,4702,61749110.00,147436,56.80,1.90,1.00
9-January-2020,236.00,236.60,235.05,235.80,235.608842673838865468,358421,5103,84447157.00,224548,62.65,1.55,-0.20
8-January-2020,234.80,235.80,233.85,234.20,234.574745290147744742,191885,3564,45011375.00,92307,48.11,1.95,-0.60
7-January-2020,236.60,237.90,234.70,235.30,235.944798905315124359,186355,2761,43969493.00,80998,43.46,3.20,-1.30
6-January-2020,238.45,238.45,235.00,235.10,236.060652878146025417,260845,4230,61575241.00,139370,53.43,3.45,-3.35
