Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2020,1716.00,1716.00,1683.00,1689.50,1690.925297186350808175,46772,2822,79087958.00,18740,40.07,33.00,-26.50
12-February-2020,1680.10,1719.95,1677.00,1714.75,1712.926379411446390926,3668213,4901,6283378813.00,35893,0.98,42.95,34.65
11-February-2020,1678.15,1684.95,1668.35,1677.15,1677.430083763062399388,36651,1672,61479490.00,8162,22.27,16.60,-1.00
10-February-2020,1663.90,1674.30,1646.00,1669.85,1658.320320490964882372,35196,2089,58366242.00,7172,20.38,28.30,5.95
7-February-2020,1675.15,1675.15,1644.50,1652.70,1653.919604460749775261,41159,2094,68073677.00,13441,32.66,30.65,-22.45
6-February-2020,1682.05,1698.30,1668.00,1674.00,1687.121716338338910449,325437,2096,549051830.00,11120,3.42,30.30,-8.05
5-February-2020,1698.15,1706.80,1677.20,1690.85,1689.946440553894955163,32786,1757,55406584.00,6131,18.70,29.60,-7.30
4-February-2020,1678.50,1702.00,1671.80,1698.00,1690.231843363436290506,39531,2557,66816555.00,14424,36.49,30.20,19.50
3-February-2020,1645.00,1680.85,1634.30,1677.45,1664.825152408483356707,34939,2779,58167326.00,9066,25.95,46.55,32.45
1-February-2020,1689.90,1689.90,1631.00,1649.70,1665.479441971327421220,57058,3195,95028926.00,8688,15.23,58.90,-40.20
31-January-2020,1712.00,1720.00,1682.05,1691.05,1700.370066054454647978,235866,9400,401059486.00,59041,25.03,37.95,-20.95
30-January-2020,1644.00,1644.00,1619.00,1628.10,1627.594360768376730837,47737,2825,77696472.00,26563,55.64,25.00,-15.90
29-January-2020,1628.00,1645.80,1623.65,1641.15,1637.126726915811696729,53998,4041,88401569.00,24238,44.89,22.15,13.15
28-January-2020,1618.00,1637.70,1611.00,1626.35,1627.874286669372746591,41881,2715,68177003.00,13406,32.01,26.70,8.35
27-January-2020,1630.00,1630.00,1609.00,1618.80,1618.946212500894966707,55868,2630,90447287.00,20805,37.24,21.00,-11.20
24-January-2020,1607.00,1647.00,1587.80,1643.95,1623.980961398984607945,99272,4416,161215838.00,20450,20.60,59.20,36.95
23-January-2020,1585.05,1608.55,1585.00,1606.25,1599.698697726068192716,79246,3930,126769723.00,22633,28.56,23.55,21.20
22-January-2020,1630.60,1636.05,1576.05,1585.90,1593.583383605393896380,112720,5582,179628719.00,36285,32.19,60.00,-44.70
21-January-2020,1608.90,1630.70,1586.50,1625.95,1608.811894437416363809,136753,6715,220009853.00,27972,20.45,44.20,17.05
20-January-2020,1710.00,1710.70,1610.95,1618.05,1643.912922977496437212,241384,13339,396814277.00,53134,22.01,99.75,-91.95
17-January-2020,1720.00,1720.00,1690.50,1697.80,1699.331896936679467714,44788,2930,76109677.00,11755,26.25,29.50,-22.20
16-January-2020,1681.40,1705.00,1679.25,1700.60,1693.375441800686587861,59133,5314,100134370.00,18918,31.99,25.75,19.20
15-January-2020,1678.00,1686.45,1666.05,1677.45,1677.694545789089930423,728263,2540,1221802863.00,703414,96.59,20.40,-0.55
14-January-2020,1695.00,1697.40,1671.50,1677.20,1675.279976408783359454,183119,4531,306775594.00,149234,81.50,25.90,-17.80
13-January-2020,1690.40,1704.00,1686.55,1691.20,1690.762720880147383170,154156,2641,260641218.00,124061,80.48,17.45,0.80
10-January-2020,1677.80,1692.35,1671.65,1684.20,1682.440653769629388158,88961,5540,149671603.00,36635,41.18,20.70,6.40
9-January-2020,1663.35,1674.00,1658.85,1664.85,1664.806987810442604784,30682,2931,51079608.00,12141,39.57,15.15,1.50
8-January-2020,1663.00,1663.00,1638.65,1655.45,1648.385526210230045661,9573056,9693,15780086952.00,103683,1.08,24.35,-7.55
7-January-2020,1660.00,1674.55,1650.50,1671.20,1663.206385691107162172,51772,3139,86107521.00,16631,32.12,24.05,11.20
6-January-2020,1658.00,1658.70,1638.55,1652.35,1646.967549529665247779,190290,2783,313401455.00,164823,86.62,20.15,-5.65
3-January-2020,1682.50,1682.50,1645.10,1657.85,1651.630066106205794364,302846,2511,500189559.00,280582,92.65,37.40,-24.65
2-January-2020,1672.10,1682.10,1664.30,1671.45,1666.824846170927558863,139603,2499,232693749.00,105808,75.79,17.80,-0.65
1-January-2020,1686.90,1696.50,1672.10,1674.60,1678.738967909525770583,31567,1750,52992753.00,8540,27.05,24.40,-12.30
31-December-2019,1688.30,1690.10,1670.50,1684.50,1674.219525479494689571,179929,4317,301240645.00,143281,79.63,19.60,-3.80
