Date,SMB %,HML %,WML %,Rm %,Rf %,Rm-Rf %
19940203,2.29228041,-0.31472671,-1.45989725,0.25775316,0.03263732,0.22511584
19940204,1.62543577,0.65518842,-0.68608793,-2.01663193,0.03263732,-2.04926925
19940207,-4.44779035,0.94824916,2.1441621,3.09451126,0.03293224,3.06157902
19940208,-1.04942049,1.05584324,1.4071104,-0.63741721,0.03293224,-0.67034945
19940209,0.04682079,-0.33229535,2.1590956,-3.03828386,0.03293224,-3.0712161
19940210,-0.07200243,-0.47155151,0.41271172,-0.38411761,0.03293224,-0.41704985
19940211,2.73112978,0.76457912,-2.79077905,1.59601786,0.03293224,1.56308562
19940214,2.05292655,-0.16971815,2.01783421,-1.75891522,0.03215761,-1.79107283
19940215,0.62017511,-0.38041376,-0.13467524,-0.62313017,0.03215761,-0.65528778
19940216,-0.17444449,-0.36819921,0.29758714,-0.9763666,0.03215761,-1.00852421
19940217,-0.70798881,-0.55489122,0.25785941,1.27771526,0.03215761,1.24555765
19940218,-0.13099013,-0.42629259,0.78954916,0.94153411,0.03215761,0.9093765
19940221,-2.27365828,-0.00137746,2.24458406,2.8501016,0.03215761,2.81794399
19940222,0.81063438,0.01427193,0.83936827,-0.53787352,0.03215761,-0.57003113
19940223,-0.78355989,0.46241207,0.94398847,-2.12014588,0.03215761,-2.15230349
19940224,-2.14459159,0.58711663,0.47664479,1.15875145,0.03215761,1.12659384
19940225,-0.12418691,-0.80844059,-0.62529154,3.93491665,0.03215761,3.90275904
19940228,0.39664764,-0.60566766,0.36795168,0.77516262,0.0317143,0.74344832
19940301,3.14530814,-2.05098817,-0.12091796,-3.06422053,0.0317143,-3.09593483
19940302,-2.08139137,-1.1289614,0.93998344,-3.02900643,0.0317143,-3.06072073
19940303,-0.10880467,1.00594413,0.38601739,-2.47054147,0.0317143,-2.50225577
19940304,2.88483481,0.06303352,-0.60865845,-2.5434264,0.0317143,-2.5751407
19940307,0.11407638,-1.87231659,0.36677896,-1.59751871,0.03015884,-1.62767755
19940308,-1.32835609,-0.52096961,0.43338177,1.11067714,0.03015884,1.0805183
19940309,0.50095214,1.55167461,0.38932213,0.95892561,0.03015884,0.92876677
