Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2020,824.00,830.30,814.55,828.00,824.020278271166370633,33780,1976,27835405.00,16011,47.40,15.75,4.00
12-February-2020,823.00,826.75,817.35,821.35,823.089346009616132696,64267,2798,52897483.00,15657,24.36,9.40,-1.65
11-February-2020,813.00,821.15,811.35,819.80,816.925374797971353731,17943,813,14658092.00,7060,39.35,9.80,6.80
10-February-2020,825.00,825.60,811.60,813.40,816.723252220934723831,20712,1012,16915972.00,8100,39.11,14.00,-11.60
7-February-2020,818.20,825.00,815.00,824.10,820.056958987783595113,45840,1894,37591411.00,20488,44.69,10.00,5.90
6-February-2020,812.50,825.50,811.35,817.60,819.099664706739880460,41158,1350,33712504.00,13711,33.31,14.15,5.10
5-February-2020,812.00,816.00,807.10,814.05,811.776116596144804889,31905,1534,25899717.00,10544,33.05,8.90,2.05
4-February-2020,792.35,812.80,792.35,811.10,809.113714798453892876,115904,2722,93779516.00,16491,14.23,20.45,18.75
3-February-2020,807.50,818.05,789.80,792.35,805.762297014325137635,72111,3663,58104325.00,15158,21.02,28.25,-15.15
1-February-2020,795.20,812.00,766.95,807.50,795.700917855256207078,151440,4784,120500947.00,40809,26.95,45.05,12.30
31-January-2020,799.05,801.75,783.00,795.40,792.434391421046662550,79357,3547,62885216.00,21359,26.92,18.75,-3.65
30-January-2020,807.00,808.00,784.45,791.35,794.556225456225456225,43290,2474,34396339.00,14670,33.89,23.55,-15.65
29-January-2020,799.00,807.15,793.80,804.15,803.295739299610894941,51400,3513,41289401.00,15804,30.75,13.35,5.15
28-January-2020,791.30,796.00,785.00,794.15,791.570866013603671038,30727,1644,24322598.00,12368,40.25,11.00,2.85
27-January-2020,785.00,796.00,780.00,791.30,789.565983725193785983,31091,2099,24548396.00,11918,38.33,16.00,6.30
24-January-2020,767.00,788.85,763.75,787.35,777.934896249002394253,50120,3542,38990097.00,16718,33.36,25.10,20.35
23-January-2020,778.10,779.90,767.00,768.85,770.843101174594412242,32607,1772,25134881.00,11455,35.13,12.90,-9.25
22-January-2020,783.00,790.00,776.80,778.10,782.283229242499712632,26099,1314,20416810.00,6976,26.73,13.20,-4.90
21-January-2020,779.00,783.20,775.40,778.85,779.510180055401662049,14440,845,11256127.00,3753,25.99,7.80,-0.15
20-January-2020,784.85,785.10,774.40,778.35,779.901102116453720862,20506,2792,15992652.00,8281,40.38,10.70,-6.50
17-January-2020,782.85,786.75,775.60,778.30,780.164957695971311705,17847,1938,13923604.00,8916,49.96,11.15,-4.55
16-January-2020,790.55,795.65,781.60,782.85,784.083753660294050009,65227,2588,51143431.00,19764,30.30,14.05,-7.70
15-January-2020,797.00,803.00,789.00,794.80,795.698644333650775866,35702,1470,28408033.00,9717,27.22,14.00,-2.20
14-January-2020,789.90,797.65,783.80,796.20,791.676170689702304475,36581,2462,28960306.00,14066,38.45,13.85,6.30
13-January-2020,778.80,788.20,775.20,785.85,784.584881100404103201,51472,1283,40384153.00,24193,47.00,13.00,7.05
10-January-2020,778.00,781.80,772.45,776.30,776.914494264859228362,16303,1373,12666037.00,7338,45.01,9.35,-1.70
9-January-2020,771.45,776.55,762.45,773.15,770.427196120327467409,41653,2348,32090604.00,15038,36.10,14.10,1.70
8-January-2020,776.90,784.90,767.50,769.70,778.048617998361433314,46382,2034,36087451.00,7839,16.90,17.40,-7.20
7-January-2020,770.05,778.65,760.65,777.50,772.165851429800043001,37208,1316,28730747.00,10008,26.90,18.00,7.45
6-January-2020,775.00,779.10,767.75,770.05,774.657190236136906341,150760,2396,116787318.00,128810,85.44,11.35,-4.95
3-January-2020,765.50,779.75,764.05,775.05,774.862972039327999055,33869,1552,26243834.00,9509,28.08,15.70,9.55
2-January-2020,762.10,769.10,761.85,766.00,766.192925049745743975,22615,832,17327453.00,5632,24.90,7.25,3.90
1-January-2020,764.50,766.40,760.70,761.95,763.262467191601049868,13716,590,10468908.00,3640,26.54,5.70,-2.55
31-December-2019,781.00,781.00,761.00,762.60,766.619359779445550620,97935,2966,75078867.00,20740,21.18,20.00,-18.40
30-December-2019,785.00,785.00,779.85,782.25,782.496931469485168769,17598,749,13770381.00,7722,43.88,5.15,-2.75
27-December-2019,771.60,781.35,769.30,780.55,777.774220079410096426,35260,1470,27424319.00,15061,42.71,12.05,8.95
26-December-2019,772.60,778.85,768.80,770.80,774.362969660438014868,29862,980,23124027.00,4688,15.70,10.05,-1.80
24-December-2019,775.20,776.90,768.00,772.60,771.509732451525627536,26612,863,20531417.00,5616,21.10,8.90,-2.60
23-December-2019,771.30,787.00,771.30,775.85,779.427551353113791979,30670,1086,23905043.00,12891,42.03,15.70,4.55
20-December-2019,785.00,786.45,778.30,783.90,782.582906317230588695,25565,1052,20006732.00,8801,34.43,8.15,-1.10
