Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2020,1894.00,1902.25,1868.80,1874.05,1877.135819245474227279,43418,2126,81501483.00,26893,61.94,33.45,-19.95
12-February-2020,1875.00,1915.65,1875.00,1892.05,1900.762502250630176449,88864,3306,168909359.00,21409,24.09,40.65,17.05
11-February-2020,1875.15,1894.00,1872.90,1877.15,1884.378183295316064118,64006,3170,120611510.00,10744,16.79,21.10,2.00
10-February-2020,1860.70,1872.40,1838.40,1870.35,1855.782199848024316109,21056,1585,39075350.00,4609,21.89,34.00,9.65
7-February-2020,1863.00,1876.80,1851.50,1857.55,1854.784878568665094787,1369910,2125,2540888353.00,11344,0.83,25.30,-5.45
6-February-2020,1865.50,1882.80,1846.30,1861.00,1860.698949448096131780,3597728,2683,6694288710.00,1172624,32.59,36.50,-4.50
5-February-2020,1890.85,1890.85,1867.00,1872.30,1875.993555703064498285,36156,3264,67828423.00,12166,33.65,23.85,-18.55
4-February-2020,1871.00,1896.00,1856.00,1890.85,1872.343229026166711626,74140,4242,138815527.00,39613,53.43,40.00,19.85
3-February-2020,1766.00,1872.50,1766.00,1867.40,1838.988837897158417352,85199,6769,156680010.00,29296,34.39,106.50,101.40
1-February-2020,1818.00,1818.00,1747.80,1756.40,1792.281759222669053209,43019,3130,77102169.00,9110,21.18,70.20,-61.60
31-January-2020,1810.00,1823.05,1789.05,1795.25,1808.322612038343632913,20551,1724,37162838.00,6389,31.09,34.00,-14.75
30-January-2020,1807.00,1809.00,1786.80,1805.40,1796.148169616979533597,22427,1563,40282215.00,12677,56.53,22.20,-1.60
29-January-2020,1788.00,1803.00,1781.10,1796.50,1795.422446483180428134,16350,2428,29355157.00,7368,45.06,21.90,8.50
28-January-2020,1797.00,1797.00,1773.50,1778.70,1780.737805682825197503,53037,4422,94444991.00,25637,48.34,23.50,-18.30
27-January-2020,1793.00,1805.25,1779.90,1787.05,1793.942535753704529976,42583,3215,76391455.00,11175,26.24,25.35,-5.95
24-January-2020,1777.00,1800.00,1777.00,1786.10,1792.169215880162420315,47531,3562,85183595.00,9910,20.85,23.00,9.10
23-January-2020,1783.50,1788.35,1758.00,1775.30,1768.590231878367471587,45843,3470,81077482.00,13602,29.67,30.35,-8.20
22-January-2020,1818.00,1818.00,1769.60,1778.30,1792.967848221207683693,92872,6470,166516510.00,17525,18.87,48.40,-39.70
21-January-2020,1847.00,1847.00,1794.75,1810.25,1809.903709613083366573,62675,3505,113435715.00,10806,17.24,52.25,-36.75
20-January-2020,1832.00,1861.95,1832.00,1848.60,1852.290097785770484432,53382,4228,98878950.00,14047,26.31,29.95,16.60
17-January-2020,1836.00,1839.35,1815.90,1831.20,1827.160052989703137231,16607,1791,30343647.00,5990,36.07,23.45,-4.80
16-January-2020,1838.20,1845.00,1829.75,1834.95,1836.829997761361092455,22335,1691,41025598.00,8028,35.94,15.25,-3.25
15-January-2020,1815.85,1845.90,1810.40,1841.75,1832.011341396095749485,39854,2158,73012980.00,12010,30.13,35.50,25.90
14-January-2020,1809.00,1822.75,1805.95,1818.55,1817.961610105984369981,46705,1931,84907897.00,5342,11.44,16.80,9.55
13-January-2020,1798.00,1807.00,1795.05,1805.25,1801.628857486851276851,15781,1229,28431505.00,5484,34.75,11.95,7.25
10-January-2020,1773.00,1796.60,1760.35,1791.05,1784.892934951758481170,35343,2597,63083471.00,17435,49.33,36.25,18.05
9-January-2020,1760.00,1775.30,1741.65,1773.00,1759.361658497549264779,39988,3377,70353354.00,20570,51.44,33.65,13.00
8-January-2020,1699.00,1737.30,1695.30,1730.85,1716.446802388317387238,13901,1079,23860327.00,3514,25.28,42.00,31.85
7-January-2020,1708.30,1740.80,1708.30,1723.90,1729.453778289221327196,20856,1545,36069488.00,4447,21.32,32.50,15.60
6-January-2020,1744.90,1744.90,1694.00,1707.50,1709.999433485372301792,68842,5402,117719781.00,32222,46.81,50.90,-37.40
3-January-2020,1788.00,1788.00,1747.25,1751.65,1757.312189909167239142,26202,2170,46045094.00,10407,39.72,40.75,-36.35
2-January-2020,1790.60,1800.00,1785.00,1790.25,1792.459241499564080209,22940,1159,41119015.00,8494,37.03,15.00,-0.35
1-January-2020,1790.15,1803.00,1785.00,1793.75,1795.062258987436248289,32156,2782,57722022.00,12107,37.65,18.00,3.60
31-December-2019,1802.65,1803.00,1781.15,1786.85,1790.570665663783377209,26590,1131,47611274.00,18514,69.63,21.85,-15.80
30-December-2019,1812.95,1816.80,1799.00,1802.40,1805.883593420497680303,14226,1030,25690500.00,4913,34.54,17.80,-10.55
27-December-2019,1810.00,1825.75,1801.00,1812.95,1812.701471132494448556,21616,1307,39183355.00,6139,28.40,24.75,2.95
26-December-2019,1800.85,1818.90,1798.10,1810.10,1808.714661766166683222,20134,1346,36416661.00,5510,27.37,20.80,9.25
24-December-2019,1810.00,1825.90,1798.80,1803.40,1812.493987532676452845,24865,1328,45067663.00,4441,17.86,27.10,-6.60
23-December-2019,1790.00,1814.00,1787.05,1807.45,1801.083551108788172926,26786,1054,48243824.00,12413,46.34,26.95,17.45
20-December-2019,1809.80,1809.80,1796.00,1798.55,1799.554316752429959977,59466,2387,107012297.00,9989,16.80,13.80,-11.25
19-December-2019,1783.00,1807.55,1778.50,1802.00,1797.187314123322979313,60524,2396,108772965.00,26199,43.29,29.05,19.00
18-December-2019,1741.55,1782.00,1734.80,1778.55,1750.533562661523235299,1185201,1999,2074734129.00,1153526,97.33,47.20,37.00
17-December-2019,1740.00,1749.00,1731.65,1745.30,1739.880992804592125474,12369,844,21520588.00,2731,22.08,17.35,5.30
16-December-2019,1758.00,1758.00,1728.05,1731.65,1736.449509321075480646,54822,1277,95195635.00,5033,9.18,29.95,-26.35
13-December-2019,1754.00,1757.55,1737.00,1744.00,1743.028943003437582634,41599,1156,72508261.00,4177,10.04,20.55,-10.00
12-December-2019,1743.00,1753.90,1728.05,1751.00,1742.619616452508555562,46461,1832,80963850.00,7513,16.17,25.85,8.00
11-December-2019,1705.15,1742.00,1705.15,1737.70,1732.005262364041629656,59669,1918,103347022.00,6920,11.60,36.85,32.55
10-December-2019,1730.90,1731.75,1710.00,1713.40,1720.114394602024240909,16006,1515,27532151.00,6041,37.74,21.75,-17.50
9-December-2019,1721.50,1732.30,1711.15,1726.45,1722.599719934854411787,65699,3626,113173079.00,15822,24.08,21.15,4.95
6-December-2019,1714.00,1747.50,1713.00,1717.35,1730.879246475030870401,34823,1883,60274408.00,4513,12.96,34.50,3.35
5-December-2019,1739.95,1739.95,1707.85,1714.85,1723.076686662223209657,27006,1717,46533409.00,5854,21.68,32.10,-25.10
4-December-2019,1728.65,1733.95,1711.10,1720.60,1720.308579169175195665,33220,2352,57148651.00,9872,29.72,22.85,-8.05
3-December-2019,1741.95,1750.00,1724.95,1737.10,1738.468936203357015294,179743,1935,312477622.00,121107,67.38,25.05,-4.85
2-December-2019,1704.00,1743.10,1698.10,1738.30,1724.844725666360784481,46859,2061,80824499.00,8932,19.06,45.00,34.30
29-November-2019,1715.00,1719.20,1678.80,1704.00,1693.561580099744556623,32884,2047,55691079.00,10166,30.91,40.40,-11.00
28-November-2019,1728.50,1728.50,1702.20,1713.45,1713.849728213221111695,22812,1145,39096340.00,4187,18.35,26.30,-15.05
27-November-2019,1710.70,1730.55,1705.65,1715.70,1719.198968962960347445,28321,1651,48689434.00,5432,19.18,24.90,5.00
26-November-2019,1722.90,1728.30,1687.85,1710.60,1711.362890938807169173,36099,2084,61778489.00,9167,25.39,40.45,-12.30
25-November-2019,1685.00,1719.90,1666.00,1708.55,1694.854687303779982418,63704,2764,107969023.00,6637,10.42,53.90,23.55
22-November-2019,1715.00,1715.00,1676.25,1682.40,1691.307455006584402282,82012,3000,138707507.00,14152,17.26,38.75,-32.60
21-November-2019,1723.15,1733.55,1711.05,1719.80,1718.971940442213128847,116324,2236,199957692.00,87411,75.14,22.50,-3.35
20-November-2019,1740.00,1748.40,1716.55,1722.80,1729.503047644847787071,59062,1973,102147909.00,7333,12.42,31.85,-17.20
