Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2020,449.25,451.55,439.55,440.90,444.020258596667223987,502404,7174,223077554.00,103528,20.61,12.00,-8.35
12-February-2020,450.00,454.40,442.70,447.95,448.107771383633452598,460317,7060,206271625.00,48437,10.52,11.70,-2.05
11-February-2020,446.25,457.15,442.85,444.25,451.199164487360021457,745650,9892,336436657.00,53144,7.13,14.30,-2.00
10-February-2020,460.30,465.00,440.10,443.65,447.149332355343657792,1079766,14831,482816646.00,197161,18.26,24.90,-16.65
7-February-2020,477.25,479.70,468.95,470.95,473.604727248008385284,912074,9630,431962558.00,405444,44.45,10.75,-6.30
6-February-2020,477.30,487.25,471.85,477.95,480.934742788822612042,991967,12061,477071394.00,188111,18.96,15.40,0.65
5-February-2020,452.05,479.00,448.05,475.30,461.718993778704170318,1224343,14400,565302418.00,156674,12.80,30.95,23.25
4-February-2020,441.10,453.20,433.80,452.05,446.881315434850212501,578820,8972,258663843.00,62879,10.86,19.40,10.95
3-February-2020,420.00,438.50,416.90,436.55,428.230984050267762656,999766,14722,428130778.00,184527,18.46,21.60,16.55
1-February-2020,432.00,439.80,420.00,423.60,431.264783482227473180,791390,12852,341298637.00,91749,11.59,19.80,-8.40
31-January-2020,451.00,454.35,436.50,438.75,444.683078769910739863,439838,8034,195588516.00,65162,14.82,17.85,-12.25
30-January-2020,452.10,454.25,441.65,448.40,447.120785399462185943,565623,8930,252901800.00,89129,15.76,12.60,-3.70
29-January-2020,453.20,459.45,449.75,452.10,455.402099937283752263,709545,10804,323128283.00,265172,37.37,9.70,-1.10
28-January-2020,460.50,461.65,441.95,446.25,451.340504388526114576,676423,15188,305297098.00,134866,19.94,19.70,-14.25
27-January-2020,477.60,477.60,460.25,462.40,466.730009452085903502,651708,10562,304171681.00,256439,39.35,17.35,-15.20
24-January-2020,480.35,484.90,476.60,483.25,482.386503299181544006,556047,9294,268229568.00,264710,47.61,8.30,2.90
23-January-2020,477.00,482.00,473.40,480.35,479.015597076772395087,663650,9132,317898701.00,344560,51.92,8.60,3.35
22-January-2020,478.10,479.80,473.05,474.80,476.641366131146812434,675045,7804,321754371.00,350421,51.91,6.75,-3.30
21-January-2020,487.10,488.60,473.70,475.90,480.892450167742900129,535045,7778,257299101.00,173160,32.36,14.90,-11.20
20-January-2020,498.40,499.50,489.15,490.65,492.259334952643835801,519151,6959,255556926.00,248181,47.81,10.35,-7.75
17-January-2020,494.00,498.90,492.40,495.30,495.853393887785031696,264225,3958,131016863.00,35736,13.52,6.50,1.30
16-January-2020,502.90,504.35,492.20,494.20,495.035672318914607357,397423,5553,196738562.00,55269,13.91,12.15,-8.70
15-January-2020,492.50,503.60,489.35,501.95,497.616610641731683577,643166,8347,320050085.00,69377,10.79,14.25,9.45
14-January-2020,497.00,505.95,495.85,498.45,500.724274629245319804,692439,9578,346721016.00,86799,12.54,10.10,1.45
13-January-2020,490.20,496.90,488.05,495.55,492.985663839053189268,435821,6560,214853505.00,68409,15.70,8.85,5.35
10-January-2020,484.30,493.90,479.95,486.55,487.004400087111889602,854074,12665,415937796.00,224753,26.32,13.95,2.25
9-January-2020,484.00,486.20,479.40,483.00,482.840524425227390978,359403,6601,173534333.00,49955,13.90,6.80,-1.00
8-January-2020,471.50,477.95,467.00,475.55,472.448750141256734833,522099,7525,246665020.00,36141,6.92,10.95,4.05
7-January-2020,477.40,484.60,473.60,475.65,479.505603176888480126,465361,7220,223143207.00,45488,9.77,11.00,-1.75
6-January-2020,480.00,480.00,470.65,473.20,475.073902328926594428,463003,6354,219960642.00,57364,12.39,9.35,-6.80
3-January-2020,483.00,486.15,479.50,483.75,482.823029046685342366,597211,8326,288347224.00,81399,13.63,6.65,0.75
2-January-2020,472.75,487.75,472.15,484.95,481.056678338240347732,861352,12571,414359132.00,152370,17.69,15.60,12.20
1-January-2020,473.10,476.45,465.00,467.75,469.528424649096150529,608785,7473,285841862.00,77607,12.75,11.45,-5.35
31-December-2019,473.00,475.25,470.20,472.00,472.548449760130225558,406679,5782,192175531.00,39888,9.81,5.05,-1.00
30-December-2019,470.90,476.00,465.05,474.70,470.394146509097157257,523790,7757,246387750.00,69279,13.23,10.95,3.80
27-December-2019,468.75,471.65,463.20,469.75,467.671099208380922374,634775,7118,296865922.00,56850,8.96,8.45,1.00
26-December-2019,463.50,471.65,463.50,467.80,468.634496677155669136,837385,10298,392427498.00,68386,8.17,8.15,4.30
24-December-2019,462.10,464.55,459.40,462.90,462.565267028516539806,563217,7230,260524622.00,67592,12.00,5.15,0.80
23-December-2019,461.50,467.55,457.15,462.05,462.535034338462113269,856474,11565,396149231.00,82659,9.65,10.40,0.55
20-December-2019,445.95,463.30,444.00,461.20,456.211038959122813333,1694417,19426,773011740.00,133940,7.90,19.30,15.25
19-December-2019,440.60,449.30,438.20,446.75,443.201632674458703542,1220819,13072,541068974.00,57755,4.73,11.10,6.15
18-December-2019,439.50,454.70,436.15,444.60,446.131827796468822121,2273519,25691,1014289187.00,111321,4.90,18.55,5.10
17-December-2019,423.95,441.75,423.30,439.50,436.119232611446379339,1480241,18567,645561569.00,156000,10.54,18.45,15.55
16-December-2019,431.90,432.20,420.00,421.05,424.385400820404756690,506823,7197,215088282.00,65376,12.90,12.20,-10.85
13-December-2019,429.30,434.50,423.60,428.75,428.814000822004550522,1017026,16110,436114988.00,158561,15.59,10.90,-0.55
12-December-2019,409.40,420.90,407.45,418.75,416.037004869878097955,773736,8870,321902808.00,95771,12.38,13.45,9.35
11-December-2019,402.55,408.00,400.45,405.40,404.147598253275109170,431665,5914,174456373.00,48634,11.27,7.55,2.85
10-December-2019,405.95,409.50,400.15,402.20,404.926723065671859539,534643,5739,216491238.00,31808,5.95,9.35,-3.75
9-December-2019,403.00,411.70,402.25,406.45,408.246223354710234146,653821,7531,266919954.00,67657,10.35,9.45,3.45
6-December-2019,401.00,407.40,394.25,402.95,402.300519308144991645,887527,12092,357052573.00,63822,7.19,13.15,1.95
