Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2020,2260.45,2288.00,2234.10,2279.25,2268.001933405911343400,221371,6724,502069856.00,170312,76.94,53.90,18.80
12-February-2020,2159.80,2271.00,2159.80,2260.45,2252.773947468735217257,217737,13849,490512241.00,122082,56.07,111.20,100.65
11-February-2020,2160.05,2179.00,2149.15,2152.80,2161.947401443061800690,28689,2212,62024109.00,17177,59.87,29.85,-7.25
10-February-2020,2159.60,2188.40,2151.65,2160.05,2163.516737437153202907,38387,2566,83050917.00,20829,54.26,36.75,0.45
7-February-2020,2165.00,2170.50,2144.10,2159.60,2154.131536154913398278,67031,2497,144393591.00,49906,74.45,26.40,-5.40
6-February-2020,2160.60,2195.85,2134.80,2157.15,2170.057441716159914901,45124,2355,97921672.00,15320,33.95,61.05,-3.45
5-February-2020,2158.00,2184.00,2154.70,2160.15,2164.737583997499609313,31995,2178,69260779.00,17681,55.26,29.30,2.15
4-February-2020,2188.75,2203.65,2141.00,2155.00,2170.977752606148563742,56501,3992,122662414.00,21167,37.46,62.65,-33.75
3-February-2020,2075.00,2195.00,2075.00,2178.50,2161.297219528977574828,127892,9418,276412624.00,48106,37.61,120.00,103.50
1-February-2020,2058.00,2096.80,2032.20,2073.60,2074.931184149771229484,119115,6662,247155428.00,22380,18.79,64.60,15.60
31-January-2020,2070.00,2070.00,2020.35,2034.15,2042.807555728653577401,43649,2979,89166507.00,13792,31.60,49.65,-35.85
30-January-2020,2074.00,2076.00,2051.00,2058.45,2064.147656666074915675,22532,1474,46509375.00,12855,57.05,25.00,-15.55
29-January-2020,2074.90,2085.00,2063.65,2073.60,2076.525790908751353976,26773,2365,55594825.00,9140,34.14,21.35,-1.30
28-January-2020,2061.00,2065.00,2043.55,2060.70,2056.609773854484233516,21977,1697,45198113.00,8365,38.06,21.45,-0.30
27-January-2020,2068.00,2068.00,2059.25,2061.35,2062.725496857482588754,17661,1509,36429795.00,9826,55.64,8.75,-6.65
24-January-2020,2060.00,2079.00,2052.00,2073.05,2071.288635903849336987,54373,4357,112622177.00,35337,64.99,27.00,13.05
23-January-2020,2052.00,2061.15,2035.05,2056.50,2048.622436880006941030,34577,2193,70835218.00,17701,51.19,26.10,4.50
22-January-2020,2061.25,2061.25,2028.00,2051.20,2047.494279313517622114,49994,5006,102362429.00,25068,50.14,33.25,-10.05
21-January-2020,2063.00,2074.40,2052.15,2056.95,2060.463305464547991533,350093,3163,721353780.00,318469,90.97,22.25,-6.05
20-January-2020,2063.50,2075.80,2051.75,2062.65,2060.769108500345542501,28940,1811,59638658.00,14600,50.45,24.05,-0.85
17-January-2020,2046.05,2063.95,2040.05,2059.20,2057.252214540918796642,47301,2643,97310087.00,28836,60.96,23.90,13.15
16-January-2020,2025.00,2054.35,2020.05,2047.85,2040.254761685682738314,43472,3284,88693955.00,23424,53.88,34.30,22.85
15-January-2020,2013.00,2026.95,1998.20,2020.45,2010.481326796198777313,33042,2218,66430324.00,17946,54.31,28.75,7.45
14-January-2020,1999.90,2015.00,1982.70,2009.00,2002.421020896143050213,48095,3239,96306439.00,23481,48.82,32.30,9.10
13-January-2020,1962.00,1997.05,1957.75,1994.90,1980.981043377910528816,58924,3276,116727327.00,26857,45.58,39.30,32.90
10-January-2020,1936.20,1957.00,1932.35,1953.75,1947.982525029852117204,43548,2106,84830743.00,15659,35.96,24.65,17.55
9-January-2020,1938.80,1946.05,1931.45,1934.40,1935.944942609619859903,342479,4278,663020488.00,297146,86.76,14.60,-4.40
8-January-2020,1920.00,1937.45,1907.00,1929.30,1922.087677975039550008,28445,2306,54673784.00,17484,61.47,30.45,9.30
7-January-2020,1918.50,1930.50,1918.00,1920.15,1924.637219085575113472,27099,2684,52155744.00,11325,41.79,12.50,1.65
6-January-2020,1933.00,1933.00,1911.75,1915.55,1917.375603881844584543,70585,3188,135337957.00,12051,17.07,21.25,-17.45
3-January-2020,1938.00,1938.00,1919.25,1928.75,1926.307341009571005198,20583,2678,39649184.00,8296,40.31,18.75,-9.25
2-January-2020,1940.00,1952.25,1930.50,1938.15,1939.160365746439247406,22748,1970,44112020.00,11389,50.07,21.75,-1.85
1-January-2020,1931.00,1939.75,1918.25,1936.75,1933.016638225255972696,18752,1909,36247928.00,4767,25.42,21.50,5.75
31-December-2019,1944.00,1946.40,1920.00,1923.25,1934.341323375893359029,24906,1980,48176705.00,8805,35.35,26.40,-20.75
30-December-2019,1955.50,1955.50,1928.50,1936.80,1937.072765219852134847,28269,2051,54759110.00,13904,49.18,27.00,-18.70
27-December-2019,1945.10,1954.25,1933.75,1949.95,1945.605913452124534952,25535,1814,49681047.00,12226,47.88,20.50,4.85
26-December-2019,1947.90,1952.00,1939.20,1945.10,1945.325221695194885543,29094,1726,56597292.00,16249,55.85,12.80,-2.80
24-December-2019,1953.10,1964.50,1940.00,1946.45,1950.083503104384943733,41232,2310,80405843.00,20103,48.76,24.50,-6.65
23-December-2019,1954.00,1962.00,1945.00,1950.05,1952.350511945392491467,26370,1471,51483483.00,8497,32.22,17.00,-3.95
20-December-2019,1954.00,1959.55,1932.00,1947.10,1945.801106057629833335,66181,3205,128775063.00,16907,25.55,27.55,-6.90
19-December-2019,1936.00,1966.00,1931.40,1949.95,1951.370922119554968885,42424,3317,82784960.00,11851,27.93,34.60,13.95
18-December-2019,1965.00,1965.00,1908.05,1929.25,1922.878360188447682014,151554,7329,291419907.00,42949,28.34,56.95,-35.75
17-December-2019,1974.75,1994.80,1950.30,1964.45,1970.679872630331753554,40512,2957,79836183.00,14100,34.80,44.50,-10.30
16-December-2019,2006.00,2010.55,1969.00,1973.90,1981.519439603163962997,59672,3673,118241228.00,25420,42.60,41.55,-32.10
13-December-2019,2013.00,2024.15,2001.10,2005.30,2013.662803157481158695,55994,1818,112753035.00,16509,29.48,23.05,-7.70
12-December-2019,2014.00,2034.45,2002.00,2006.45,2009.119495749047200234,51165,4405,102796599.00,11993,23.44,32.45,-7.55
11-December-2019,2025.00,2025.00,1998.30,2009.60,2012.082381113093229191,62223,2285,125197802.00,11047,17.75,26.70,-15.40
10-December-2019,2010.00,2041.25,2010.00,2025.00,2029.422809574527720163,35678,2958,72405747.00,15954,44.72,31.25,15.00
9-December-2019,2025.50,2029.40,1991.85,2009.85,2009.935429832292584744,159981,2880,321551480.00,13208,8.26,37.55,-15.65
6-December-2019,2052.00,2052.00,2022.25,2025.50,2037.569629066390611687,109157,1568,222414988.00,8524,7.81,29.75,-26.50
5-December-2019,2040.00,2046.60,2028.00,2036.25,2038.418556344123247360,132871,2106,270846712.00,12300,9.26,18.60,-3.75
4-December-2019,2029.00,2052.00,2023.20,2048.20,2035.382179886652697990,129337,2492,263250225.00,109941,85.00,28.80,19.20
3-December-2019,2058.20,2058.20,2021.00,2028.85,2031.694578070202662859,64442,2925,130926462.00,18445,28.62,37.20,-29.35
2-December-2019,2036.10,2062.00,2029.30,2044.20,2044.741611176393785089,45954,2252,93964056.00,12009,26.13,32.70,8.10
29-November-2019,2087.00,2087.00,2030.55,2036.10,2044.875774586279798789,41151,2369,84148683.00,17602,42.77,56.45,-50.90
28-November-2019,2091.00,2096.95,2068.05,2085.55,2082.478589165357522931,39466,2140,82187100.00,17634,44.68,28.90,-5.45
27-November-2019,2060.00,2099.65,2056.50,2092.70,2081.061721614680084643,61907,3838,128832288.00,14017,22.64,43.15,32.70
26-November-2019,2065.00,2080.05,2033.00,2061.20,2053.616800353035848713,38523,2515,79111480.00,17116,44.43,47.05,-3.80
25-November-2019,2027.50,2066.35,2026.00,2061.00,2051.069458595369426975,28463,1659,58379590.00,9860,34.64,40.35,33.50
22-November-2019,2050.00,2053.20,2008.35,2024.20,2022.333921944977607165,78150,2384,158045396.00,27653,35.38,44.85,-25.80
21-November-2019,2026.95,2060.25,2017.55,2049.65,2040.940877386196769456,54480,3322,111190459.00,25599,46.99,42.70,22.70
20-November-2019,2055.00,2055.00,2017.30,2026.20,2026.254092460584670397,86134,3097,174529370.00,39213,45.53,37.70,-28.80
19-November-2019,2055.00,2055.00,2029.50,2036.95,2036.505851685634817193,74423,3233,151562875.00,29276,39.34,25.50,-18.05
18-November-2019,2058.00,2072.55,2038.00,2056.70,2046.037283030391360775,288174,2518,589614748.00,240992,83.63,34.55,-1.30
15-November-2019,2067.00,2098.00,2050.00,2057.25,2074.704462974164002419,46292,2577,96042219.00,19741,42.64,48.00,-9.75
14-November-2019,2094.00,2094.00,2061.40,2069.65,2070.291836131876121878,44011,2001,91115614.00,23344,53.04,32.60,-24.35
13-November-2019,2083.00,2094.00,2073.60,2090.80,2086.605804519034299430,50409,2361,105183712.00,26866,53.30,20.40,7.80
11-November-2019,2084.00,2099.40,2068.00,2078.55,2078.281614119259766963,46688,2162,97030812.00,21720,46.52,31.40,-5.45
8-November-2019,2144.00,2144.60,2083.30,2086.25,2099.309123141239350161,188970,3631,396706445.00,146617,77.59,61.30,-57.75
7-November-2019,2181.00,2182.85,2128.70,2137.80,2144.775577258616392105,44131,2457,94651091.00,17152,38.87,54.15,-43.20
6-November-2019,2172.00,2183.75,2156.00,2179.90,2175.559178794614771631,47686,1594,103743715.00,13608,28.54,27.75,7.90
5-November-2019,2157.00,2175.25,2143.30,2172.15,2161.677269181408691713,39739,2580,85902893.00,11726,29.51,31.95,15.15
4-November-2019,2179.70,2186.00,2150.00,2158.95,2161.950338920559289826,35259,1850,76228207.00,17400,49.35,36.00,-20.75
1-November-2019,2167.00,2183.70,2148.00,2179.70,2166.223053092618310009,37444,2740,81112056.00,11372,30.37,35.70,12.70
31-October-2019,2170.00,2187.00,2159.05,2176.75,2171.157217569257588964,52774,2424,114580651.00,30470,57.74,27.95,6.75
30-October-2019,2164.00,2175.00,2141.80,2169.20,2155.524492987589546968,39644,2638,85453613.00,19784,49.90,33.20,5.20
29-October-2019,2138.00,2163.40,2113.25,2160.50,2139.576905105768413898,94168,2588,201479678.00,71924,76.38,50.15,22.50
27-October-2019,2145.50,2149.95,2135.05,2139.50,2140.602310076063480138,10649,766,22795274.00,6371,59.83,14.90,-6.00
25-October-2019,2146.00,2156.00,2130.00,2142.85,2142.383937306774155676,102212,3527,218977347.00,78902,77.19,26.00,-3.15
24-October-2019,2137.35,2149.60,2118.65,2135.20,2128.357011291743413149,37461,2429,79730382.00,19334,51.61,30.95,-2.15
23-October-2019,2129.70,2137.05,2097.80,2133.65,2111.348282069343351334,76662,3459,161860182.00,45057,58.77,39.25,3.95
22-October-2019,2108.00,2148.45,2108.00,2127.60,2134.388943731490621915,40520,3574,86485440.00,21969,54.22,40.45,19.60
18-October-2019,2100.00,2115.85,2091.00,2106.20,2107.322710035005834305,109696,4348,231164872.00,78638,71.69,24.85,6.20
17-October-2019,2068.00,2108.00,2061.85,2103.60,2089.783909019568764713,240843,5230,503309826.00,193289,80.26,46.15,35.60
16-October-2019,2065.00,2080.00,2049.80,2071.80,2071.433447643352739452,125390,2947,259737040.00,88000,70.18,30.20,6.80
15-October-2019,2052.00,2077.00,2026.75,2063.35,2050.447369869181320193,199895,12819,409874177.00,91473,45.76,50.25,11.35
14-October-2019,2023.00,2031.65,2006.00,2014.70,2015.902344306683767992,140340,3987,282911735.00,92492,65.91,25.65,-8.30
11-October-2019,1995.00,2016.00,1976.90,2004.75,2000.029515856384022690,157949,3928,315902662.00,104512,66.17,39.10,9.75
10-October-2019,1951.00,1982.50,1936.50,1967.50,1966.513696646782880639,86335,2976,169778960.00,55330,64.09,46.00,16.50
9-October-2019,1942.65,1962.00,1941.40,1947.40,1949.429247266610597140,38048,2450,74171884.00,23570,61.95,20.60,4.75
7-October-2019,1943.90,1962.50,1928.30,1939.85,1945.589854283814015357,82695,4120,160890553.00,53262,64.41,34.20,-4.05
4-October-2019,1968.85,1976.00,1940.00,1943.70,1954.038633487979755377,47420,2436,92660512.00,26445,55.77,36.00,-25.15
3-October-2019,1987.75,1989.00,1958.85,1961.60,1968.522018158696359388,33813,2530,66561635.00,14183,41.95,30.15,-26.15
1-October-2019,1985.35,2019.85,1983.75,1989.05,1999.468456984833426954,46286,3091,92547397.00,20065,43.35,36.10,3.70
30-September-2019,2010.00,2016.55,1972.25,1982.45,1990.106306276781398245,122053,4030,242898445.00,88834,72.78,44.30,-27.55
27-September-2019,2029.80,2044.45,2004.65,2009.70,2018.413808540801352998,40207,2367,81154364.00,20410,50.76,39.80,-20.10
26-September-2019,2052.00,2075.00,2017.50,2033.80,2037.028280011740534194,136280,5362,277606214.00,78075,57.29,57.50,-18.20
25-September-2019,2045.00,2061.75,2012.50,2047.60,2029.159031312663890174,51864,2832,105240304.00,25806,49.76,49.25,2.60
24-September-2019,2045.00,2067.30,2009.10,2049.65,2040.566080977845683728,125664,5965,256425696.00,74271,59.10,58.20,4.65
23-September-2019,1978.00,2101.50,1978.00,2035.40,2068.102683942619157797,259320,13465,536300388.00,96479,37.20,123.50,57.40
20-September-2019,1819.95,1991.05,1811.50,1969.70,1917.616221755892830998,430311,15859,825171354.00,254824,59.22,179.55,149.75
19-September-2019,1830.00,1843.50,1807.55,1811.90,1826.139951259138911454,30775,1780,56199457.00,9703,31.53,35.95,-18.10
18-September-2019,1840.00,1841.30,1819.45,1829.20,1827.376556914393226716,26575,1815,48562532.00,5866,22.07,21.85,-10.80
17-September-2019,1815.00,1841.00,1813.00,1830.95,1831.753134431143788863,49371,2464,90435484.00,24942,50.52,28.00,15.95
16-September-2019,1801.00,1824.00,1797.30,1815.65,1816.961199000832639467,24020,1484,43643408.00,7987,33.25,26.70,14.65
13-September-2019,1802.00,1824.90,1793.05,1804.80,1808.088133122421761111,64482,2705,116589139.00,36170,56.09,31.85,2.80
12-September-2019,1825.15,1833.00,1800.00,1806.65,1818.348437548295366735,32353,2082,58829027.00,10380,32.08,33.00,-18.50
11-September-2019,1833.00,1847.00,1818.00,1823.50,1828.014844449123545823,37994,1826,69453596.00,17188,45.24,29.00,-9.50
9-September-2019,1825.00,1858.00,1818.50,1833.40,1843.169859525527309765,117815,4417,217153057.00,52931,44.93,39.50,8.40
6-September-2019,1830.00,1842.65,1813.25,1818.65,1823.314841655192405246,27598,1531,50319843.00,12662,45.88,29.40,-11.35
5-September-2019,1845.00,1845.00,1818.65,1829.35,1827.580965445162976027,30618,1692,55956874.00,8441,27.57,26.35,-15.65
4-September-2019,1845.00,1858.50,1818.00,1847.25,1836.179642567645810012,51814,2573,95139812.00,21244,41.00,40.50,2.25
3-September-2019,1870.00,1875.65,1835.65,1842.70,1854.258463235744785175,48947,2859,90760389.00,20322,41.52,40.00,-27.30
30-August-2019,1838.50,1886.25,1827.40,1880.10,1857.165001857431790977,48454,2444,89987073.00,27256,56.25,58.85,41.60
29-August-2019,1822.00,1842.40,1814.50,1830.25,1829.318221548860788998,51483,2510,94178790.00,17829,34.63,27.90,8.25
28-August-2019,1841.20,1847.65,1813.20,1827.75,1838.573796381613920686,451472,4239,830064589.00,396925,87.92,34.45,-13.45
27-August-2019,1875.25,1888.95,1842.50,1861.55,1863.417967633098873448,52461,3263,97756770.00,16080,30.65,46.45,-13.70
26-August-2019,1875.00,1883.50,1850.45,1874.75,1868.679177165206272799,53182,2498,99380096.00,24834,46.70,33.05,-0.25
