Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2020,2435.85,2441.50,2400.00,2403.20,2411.278485791275595881,76819,6415,185232002.00,51741,67.35,41.50,-32.65
12-February-2020,2448.00,2486.90,2427.40,2436.55,2455.074597447021525112,95888,3893,235412193.00,27738,28.93,59.50,-11.45
11-February-2020,2424.00,2441.00,2421.05,2435.55,2431.302052934116606657,79155,3125,192449714.00,47943,60.57,19.95,11.55
10-February-2020,2407.70,2425.30,2390.40,2414.60,2414.199347725266669658,66843,3515,161372327.00,29169,43.64,34.90,6.90
7-February-2020,2434.00,2452.65,2399.00,2406.00,2424.229602093417639065,178082,3515,431711656.00,139079,78.10,53.65,-28.00
6-February-2020,2390.00,2447.40,2370.95,2435.50,2422.635929850653777034,80685,4282,195470380.00,14993,18.58,76.45,45.50
5-February-2020,2349.90,2395.00,2327.10,2391.45,2363.325255196925238665,120985,5149,285926906.00,46203,38.19,67.90,41.55
4-February-2020,2270.00,2351.60,2269.90,2345.70,2325.454255205389468538,65461,4097,152226561.00,19654,30.02,81.70,75.70
3-February-2020,2270.00,2298.00,2228.05,2260.80,2269.192308826565218673,101727,8211,230838126.00,56316,55.36,69.95,-9.20
1-February-2020,2413.00,2422.95,2252.00,2270.75,2331.361429519556340483,177794,10143,414502074.00,90503,50.90,170.95,-142.25
31-January-2020,2425.00,2435.00,2405.20,2412.40,2417.724766296549129968,71779,4584,173541866.00,38152,53.15,29.80,-12.60
30-January-2020,2450.00,2450.00,2388.55,2415.85,2413.219299120410076390,50137,4667,120991576.00,19426,38.75,61.45,-34.15
29-January-2020,2442.00,2447.70,2400.00,2403.65,2429.526417962811367091,342040,3186,830995216.00,313804,91.74,47.70,-38.35
28-January-2020,2419.00,2470.85,2409.60,2432.40,2443.803621350315721301,185290,11605,452812373.00,65902,35.57,61.25,13.40
27-January-2020,2439.80,2445.70,2388.70,2395.80,2417.557747582963156519,53578,4075,129527909.00,25377,47.36,57.00,-44.00
24-January-2020,2427.95,2458.95,2413.10,2450.90,2440.688346712175800096,47463,2943,115842391.00,21946,46.24,45.85,22.95
23-January-2020,2415.00,2436.80,2404.65,2426.15,2416.509219347332262175,1263430,3264,3053090243.00,1219784,96.55,32.15,11.15
22-January-2020,2476.00,2481.20,2412.00,2417.10,2434.595182342482979922,92244,3747,224576798.00,69781,75.65,69.20,-58.90
21-January-2020,2451.00,2486.40,2432.40,2464.50,2469.789837347118900516,39655,2386,97939516.00,10626,26.80,54.00,13.50
20-January-2020,2474.95,2485.15,2441.00,2455.30,2456.743058415519670532,46135,2405,113341841.00,17725,38.42,44.15,-19.65
17-January-2020,2471.00,2478.00,2449.00,2453.95,2460.843039143989838728,25981,1722,63935163.00,8351,32.14,29.00,-17.05
16-January-2020,2486.00,2495.90,2473.00,2482.20,2484.386417096241429357,19981,1759,49640525.00,7296,36.51,22.90,-3.80
15-January-2020,2485.00,2495.00,2453.75,2485.90,2470.010737680216974099,63049,3977,155731707.00,28413,45.06,41.25,0.90
14-January-2020,2450.00,2499.65,2447.50,2492.70,2478.109423725021325390,71511,2897,177212083.00,12302,17.20,52.15,42.70
13-January-2020,2460.00,2471.00,2441.05,2463.90,2451.623540034941012504,50943,2872,124893058.00,26518,52.05,29.95,3.90
10-January-2020,2460.00,2477.00,2440.20,2458.15,2459.050708376595103325,29857,2248,73419877.00,6335,21.22,36.80,-1.85
9-January-2020,2430.00,2462.40,2426.10,2457.10,2444.895625450544447395,52714,4656,128880228.00,31353,59.48,36.30,27.10
8-January-2020,2399.00,2412.90,2384.75,2406.05,2396.129058236755968325,289319,6183,693245663.00,253096,87.48,28.15,7.05
7-January-2020,2400.00,2428.00,2380.55,2413.05,2406.349039378036036242,87079,4088,209542468.00,47319,54.34,47.45,13.05
6-January-2020,2453.00,2453.00,2371.65,2384.45,2392.688159286928083619,93567,5558,223876653.00,55420,59.23,81.35,-68.55
