Date,SMB,HML,WML,Ret,Ret_rf,Ret_ex
20190521,0.75187638,-1.28089833,1.83158742,-0.96301673,0.02481724,-0.98783397
20190522,0.14160272,0.5182736,-0.46377235,0.26261944,0.02481724,0.2378022
20190523,0.13452251,-0.07767026,-0.29261185,-0.33749399,0.02466679,-0.36216078
20190524,0.29314676,1.72742234,-1.1457024,1.69316458,0.02466679,1.66849779
20190527,0.90466096,0.85562301,0.10109084,0.91391422,0.02466679,0.88924743
20190528,0.26217832,-0.68153645,-0.31345983,0.30885328,0.02466679,0.28418649
20190529,0.44063495,-0.9036358,1.20811038,-0.61814596,0.02466679,-0.64281275
20190530,-0.55850904,-0.17064755,2.87297219,0.50718959,0.02402679,0.4831628
20190531,-0.68778678,-0.7416355,1.08579161,-0.039286,0.02402679,-0.06331279
20190603,-1.44021706,0.0205745,0.51309874,1.1351937,0.02402679,1.11116691
20190604,0.18983851,0.48930523,-0.57471307,-0.42167768,0.02402679,-0.44570447
20190606,0.07053178,-1.30263305,1.83740588,-1.44249074,0.02357441,-1.46606515
20190607,-0.34835463,-0.09356004,1.46184912,-0.03062706,0.02357441,-0.05420147
20190610,-0.83217711,-1.04075948,1.77289489,0.19884346,0.02357441,0.17526905
20190611,-1.12389721,1.05911159,-0.15146929,0.41967135,0.02357441,0.39609694
20190612,-0.03382147,-0.00797915,1.20692297,-0.47038125,0.02357441,-0.49395566
20190613,-0.38374305,-0.53054374,1.09794209,-0.10463936,0.02308375,-0.12772311
20190614,-0.08533088,0.37832567,0.83995831,-0.7497889,0.02308375,-0.77287265
20190617,0.07330569,-0.50798736,0.94132765,-1.33418409,0.02308375,-1.35726784
20190618,-1.00385733,-0.22461329,2.0389725,0.09698446,0.02308375,0.07390071
20190619,-1.21030274,-0.57913246,2.85699152,-0.44355765,0.02308375,-0.4666414
20190620,-0.74143106,1.14880391,-2.35113044,1.21209963,0.02323478,1.18886485
20190621,0.50143204,0.71155927,-0.252406,-0.55615744,0.02323478,-0.57939222
20190624,-0.02405292,-0.15880819,0.43000006,-0.1971281,0.02323478,-0.22036288
20190625,-0.62569353,0.75185327,0.77520149,0.59321805,0.02323478,0.56998327
20190626,0.05019122,1.47450497,-1.09650909,0.6087652,0.02323478,0.58553042
20190627,0.43356615,-0.50231781,-0.21077456,0.2046228,0.0234235,0.1811993
20190628,0.27224288,-0.00347667,1.17787568,-0.25573336,0.0234235,-0.27915686
